;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regi¢n y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;÷NDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 a§o de edad (Terneros);De 1 a§o a menos de 2 a§os de edad (Toretes);De 2 o m†s a§os de edad (Toros) ;;De menos de 1 a§o de edad (Terneras);De 1 a§o a menos de 2 a§os de edad (Vaconas);De 2 o m†s a§os de edad (Vacas);;;;;
TOTAL NACIONAL; 417.491 ; 259.665 ; 85.612 ; 89.349 ; 84.704 ; 157.826 ; 16.500 ; 34.661 ; 106.665 ;;;;;
REGI‡N SIERRA; 188.200 ; 129.493 ; 60.640 ; 31.135 ; 37.718 ; 58.707 ; 9.423 ; 9.072 ; 40.212 ;;;;;
REGI‡N COSTA; 191.571 ; 106.453 ; 20.993 ; 47.807 ; 37.653 ; 85.118 ; 5.860 ; 21.992 ; 57.266 ;;;;;
REGI‡N AMAZ‡NICA; 37.721 ; 23.719 ; 3.979 ; 10.407 ; 9.333 ; 14.002 ; 1.217 ; 3.598 ; 9.187 ;;;;;
;;;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;;;
AZUAY; 14.777 ; 9.356 ; 5.039 ; 2.316 ; 2.002 ; 5.421 ; 1.289 ; 1.109 ; 3.023 ;;;;;
BOL÷VAR; 6.795 ; 4.112 ; 671 ; 2.466 ; 975 ; 2.682 ; 287 ; 422 ; 1.974 ;;;;;
CA•AR; 5.720 ; 2.520 ; 1.164 ; 382 ; 975 ; 3.200 ; 768 ; 830 ; 1.602 ;;;;;
CARCHI; 8.341 ; 5.529 ; 2.688 ; 2.107 ; 734 ; 2.812 ; 192 ; 460 ; 2.160 ;;;;;
COTOPAXI; 25.107 ; 19.161 ; 10.577 ; 3.628 ; 4.956 ; 5.946 ; 1.398 ; 684 ; 3.864 ;;;;;
CHIMBORAZO; 25.909 ; 18.223 ; 10.034 ; 1.562 ; 6.627 ; 7.687 ; 2.856 ; 1.038 ; 3.793 ;;;;;
IMBABURA; 8.407 ; 6.359 ; 1.496 ; 2.463 ; 2.399 ; 2.048 ; 91 ; 180 ; 1.777 ;;;;;
LOJA; 14.672 ; 8.208 ; 1.532 ; 2.864 ; 3.812 ; 6.464 ; 467 ; 653 ; 5.344 ;;;;;
PICHINCHA; 35.884 ; 25.144 ; 13.725 ; 3.930 ; 7.489 ; 10.740 ; 1.253 ; 1.333 ; 8.154 ;;;;;
TUNGURAHUA; 20.067 ; 17.414 ; 10.318 ; 2.184 ; 4.913 ; 2.652 ; 483 ; 269 ; 1.900 ;;;;;
SANTO DOMINGO DE LOS TSµCHILAS; 22.521 ; 13.467 ; 3.396 ; 7.232 ; 2.838 ; 9.054 ; 340 ; 2.095 ; 6.620 ;;;;;
;;;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;;;
EL ORO; 30.638 ; 23.293 ; 594 ; 4.523 ; 18.176 ; 7.346 ; 398 ; 812 ; 6.137 ;;;;;
ESMERALDAS; 38.061 ; 19.757 ; 2.014 ; 8.990 ; 8.753 ; 18.303 ; 1.453 ; 6.489 ; 10.361 ;;;;;
GUAYAS; 20.544 ; 12.086 ; 4.831 ; 5.654 ; 1.601 ; 8.458 ; 361 ; 1.644 ; 6.453 ;;;;;
LOS R÷OS; 7.900 ; 4.606 ; 674 ; 3.201 ; 731 ; 3.294 ; 493 ; 1.041 ; 1.760 ;;;;;
MANAB÷; 94.156 ; 46.537 ; 12.808 ; 25.337 ; 8.391 ; 47.620 ; 3.156 ; 11.953 ; 32.511 ;;;;;
SANTA ELENA; 271 ; 175 ; 72 ; 102 ; 1 ; 97 ;; 53 ; 44 ;;;;;
;;;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 7.415 ; 4.489 ; 732 ; 1.852 ; 1.905 ; 2.926 ; 232 ; 840 ; 1.854 ;;;;;
NAPO; 5.559 ; 3.676 ; 1.542 ; 1.475 ; 659 ; 1.883 ; 389 ; 406 ; 1.088 ;;;;;
ORELLANA; 5.282 ; 3.211 ; 627 ; 1.825 ; 759 ; 2.071 ; 232 ; 1.026 ; 813 ;;;;;
PASTAZA; 4.013 ; 2.564 ; 73 ; 1.391 ; 1.100 ; 1.449 ; 20 ; 232 ; 1.197 ;;;;;
SUCUMB÷OS; 11.424 ; 7.398 ; 960 ; 3.557 ; 2.880 ; 4.026 ; 268 ; 866 ; 2.892 ;;;;;
ZAMORA CHINCHIPE; 4.027 ; 2.381 ; 45 ; 307 ; 2.030 ; 1.646 ; 76 ; 228 ; 1.342 ;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;;;
