;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 1.943 ; 1.789 ; 1.059 ; 594 ;;
REGI‡N SIERRA;; 1.921 ; 1.767 ; 1.053 ; 594 ;;
REGI‡N COSTA;; 22 ; 22 ; 6 ;;;
REGI‡N AMAZ‡NICA;;;;;;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 8 ; 8 ; 6 ; 4 ;;
;Asociado; 375 ; 301 ; 215 ; 10 ;;
BOL÷VAR;Solo; 483 ; 480 ; 224 ; 224 ;;
;Asociado;;;;;;
CA•AR;Solo; 11 ; 11 ; 9 ; 3 ;;
;Asociado; 6 ; 6 ; 2 ;;;
CARCHI;Solo; 22 ; 22 ; 30 ; 25 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 196 ; 172 ; 111 ; 64 ;;
;Asociado; 8 ; 8 ; 2 ;;;
CHIMBORAZO;Solo; 232 ; 230 ; 133 ; 69 ;;
;Asociado; 23 ; 23 ; 22 ; 22 ;;
IMBABURA;Solo; 19 ; 19 ; 38 ; 31 ;;
;Asociado; 335 ; 302 ; 88 ; 15 ;;
LOJA;Solo;;;;;;
;Asociado; 132 ; 116 ; 36 ; 33 ;;
PICHINCHA;Solo; 21 ; 21 ; 45 ; 32 ;;
;Asociado; 9 ; 8 ; 17 ; 12 ;;
TUNGURAHUA;Solo; 40 ; 40 ; 76 ; 52 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo; 22 ; 22 ; 6 ;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
