;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 5.995 ; 5.693 ; 27.872 ; 25.941 ;;
REGI‡N SIERRA;; 5.431 ; 5.130 ; 26.552 ; 24.697 ;;
REGI‡N COSTA;; 563 ; 563 ; 1.320 ; 1.243 ;;
REGI‡N AMAZ‡NICA;;;;;;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 36 ; 36 ; 94 ; 72 ;;
;Asociado; 162 ; 154 ; 121 ; 13 ;;
BOL÷VAR;Solo; 208 ; 208 ; 404 ; 257 ;;
;Asociado;;;;;;
CA•AR;Solo; 78 ; 65 ; 40 ; 9 ;;
;Asociado; 69 ; 52 ; 76 ; 59 ;;
CARCHI;Solo; 1.256 ; 1.156 ; 8.810 ; 8.710 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 664 ; 633 ; 2.642 ; 2.423 ;;
;Asociado; 69 ; 57 ; 111 ; 75 ;;
CHIMBORAZO;Solo; 977 ; 931 ; 4.931 ; 4.521 ;;
;Asociado; 109 ; 109 ; 171 ; 134 ;;
IMBABURA;Solo; 251 ; 250 ; 2.322 ; 2.212 ;;
;Asociado; 94 ; 89 ; 83 ; 22 ;;
LOJA;Solo; 3 ; 2 ; 1 ;;;
;Asociado;;;;;;
PICHINCHA;Solo; 305 ; 258 ; 623 ; 431 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo; 1.109 ; 1.087 ; 6.076 ; 5.712 ;;
;Asociado; 41 ; 41 ; 47 ; 47 ;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo; 31 ; 31 ; 114 ; 114 ;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo; 533 ; 533 ; 1.207 ; 1.130 ;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
