;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 6.212 ; 5.614 ; 27.914 ; 27.577 ;;
REGI‡N SIERRA;; 2.728 ; 2.616 ; 10.726 ; 10.533 ;;
REGI‡N COSTA;; 3.325 ; 2.986 ; 17.120 ; 16.979 ;;
REGI‡N AMAZ‡NICA;; 160 ; 12 ; 68 ; 66 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 5 ; 5 ; 0 ;;;
;Asociado; 96 ; 94 ; 17 ; 4 ;;
BOL÷VAR;Solo; 70 ; 70 ; 458 ; 458 ;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 251 ; 212 ; 685 ; 674 ;;
;Asociado; 126 ; 123 ; 1.088 ; 1.086 ;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 19 ; 19 ; 131 ; 127 ;;
;Asociado;;;;;;
IMBABURA;Solo; 156 ; 156 ; 708 ; 666 ;;
;Asociado; 0 ;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 475 ; 411 ; 1.916 ; 1.826 ;;
;Asociado; 874 ; 874 ; 2.297 ; 2.280 ;;
TUNGURAHUA;Solo; 40 ; 37 ; 313 ; 300 ;;
;Asociado; 378 ; 378 ; 2.750 ; 2.750 ;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 237 ; 237 ; 361 ; 361 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 935 ; 935 ; 7.010 ; 6.970 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 314 ; 159 ; 301 ; 301 ;;
;Asociado;;;;;;
GUAYAS;Solo; 107 ; 107 ; 182 ; 182 ;;
;Asociado;;;;;;
LOS R÷OS;Solo; 96 ;;;;;
;Asociado;;;;;;
MANAB÷;Solo; 475 ; 473 ; 2.953 ; 2.905 ;;
;Asociado; 1.151 ; 1.102 ; 6.159 ; 6.112 ;;
SANTA ELENA;Solo; 225 ; 209 ; 514 ; 510 ;;
;Asociado; 20 ;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo; 7 ; 7 ; 10 ; 10 ;;
;Asociado;;;;;;
ORELLANA;Solo; 152 ; 4 ; 55 ; 55 ;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo; 1 ; 1 ; 3 ;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
