;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 4.939 ; 4.803 ; 16.059 ; 13.902 ;;
REGI‡N SIERRA;; 846 ; 785 ; 1.178 ; 928 ;;
REGI‡N COSTA;; 2.801 ; 2.754 ; 12.929 ; 12.217 ;;
REGI‡N AMAZ‡NICA;; 1.293 ; 1.265 ; 1.952 ; 756 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 224 ; 224 ; 112 ; 109 ;;
;Asociado;;;;;;
BOL÷VAR;Solo;;;;;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo; 370 ; 308 ; 672 ; 672 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;;;;;;
;Asociado; 16 ; 16 ; 20 ; 18 ;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 71 ; 71 ; 32 ; 29 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 165 ; 165 ; 341 ; 100 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 63 ; 63 ; 74 ; 58 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 311 ; 311 ; 180 ; 180 ;;
;Asociado;;;;;;
GUAYAS;Solo; 1.425 ; 1.425 ; 9.849 ; 9.849 ;;
;Asociado;;;;;;
LOS R÷OS;Solo; 77 ; 77 ; 306 ; 285 ;;
;Asociado;;;;;;
MANAB÷;Solo; 714 ; 668 ; 1.636 ; 973 ;;
;Asociado;;;;;;
SANTA ELENA;Solo; 210 ; 210 ; 884 ; 872 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 601 ; 594 ; 1.328 ; 486 ;;
;Asociado;;;;;;
NAPO;Solo; 104 ; 83 ; 85 ; 85 ;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo; 353 ; 353 ; 411 ; 112 ;;
;Asociado; 197 ; 197 ; 54 ; 36 ;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado; 37 ; 37 ; 74 ; 37 ;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
