;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 365.725 ; 341.301 ; 1.304.884 ; 1.260.904 ;;
REGI‡N SIERRA;; 27.052 ; 25.464 ; 67.493 ; 57.139 ;;
REGI‡N COSTA;; 318.482 ; 297.691 ; 1.198.975 ; 1.171.400 ;;
REGI‡N AMAZ‡NICA;; 20.191 ; 18.145 ; 38.416 ; 32.365 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 826 ; 794 ; 1.099 ; 380 ;;
;Asociado; 308 ; 253 ; 180 ; 31 ;;
BOL÷VAR;Solo; 334 ; 334 ; 1.011 ; 968 ;;
;Asociado; 83 ; 83 ; 278 ; 278 ;;
CA•AR;Solo; 544 ; 535 ; 1.059 ; 1.053 ;;
;Asociado; 130 ; 130 ; 59 ;;;
CARCHI;Solo; 224 ; 224 ; 640 ; 584 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 1 ; 1 ; 2 ; 1 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 507 ; 319 ; 733 ; 583 ;;
;Asociado;;;;;;
IMBABURA;Solo; 873 ; 873 ; 985 ; 605 ;;
;Asociado; 142 ; 142 ; 38 ; 9 ;;
LOJA;Solo; 21.518 ; 20.249 ; 58.265 ; 49.798 ;;
;Asociado; 113 ; 113 ; 195 ; 106 ;;
PICHINCHA;Solo; 289 ; 289 ; 976 ; 964 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 1.130 ; 1.095 ; 1.930 ; 1.736 ;;
;Asociado; 31 ; 31 ; 44 ; 44 ;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 387 ; 387 ; 592 ; 443 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 758 ; 680 ; 2.271 ; 1.915 ;;
;Asociado; 988 ; 988 ; 1.602 ; 1.044 ;;
GUAYAS;Solo; 58.779 ; 55.425 ; 247.467 ; 244.401 ;;
;Asociado; 87 ; 87 ; 245 ; 244 ;;
LOS R÷OS;Solo; 144.626 ; 141.656 ; 630.258 ; 626.130 ;;
;Asociado; 2.808 ; 2.452 ; 12.503 ; 12.270 ;;
MANAB÷;Solo; 103.981 ; 89.998 ; 278.295 ; 259.439 ;;
;Asociado; 765 ; 751 ; 2.461 ; 2.285 ;;
SANTA ELENA;Solo; 5.302 ; 5.267 ; 23.280 ; 23.229 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 981 ; 907 ; 1.184 ; 385 ;;
;Asociado;;;;;;
NAPO;Solo; 2.081 ; 790 ; 1.368 ; 1.171 ;;
;Asociado;;;;;;
ORELLANA;Solo; 9.183 ; 8.901 ; 18.870 ; 16.566 ;;
;Asociado; 156 ; 156 ; 695 ; 670 ;;
PASTAZA;Solo; 12 ; 12 ; 11 ;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo; 7.237 ; 6.908 ; 15.977 ; 13.487 ;;
;Asociado; 129 ; 127 ; 168 ; 63 ;;
ZAMORA CHINCHIPE;Solo; 411 ; 345 ; 144 ; 23 ;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
