;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 58.513 ; 54.518 ; 88.594 ; 69.440 ;;
REGI‡N SIERRA;; 57.138 ; 53.199 ; 87.752 ; 68.867 ;;
REGI‡N COSTA;; 691 ; 635 ; 179 ; 24 ;;
REGI‡N AMAZ‡NICA;; 684 ; 684 ; 663 ; 548 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 3.295 ; 3.107 ; 3.273 ; 1.594 ;;
;Asociado; 2.348 ; 2.129 ; 1.725 ; 294 ;;
BOL÷VAR;Solo; 22.410 ; 21.554 ; 48.447 ; 44.303 ;;
;Asociado; 1.387 ; 1.366 ; 1.481 ; 1.404 ;;
CA•AR;Solo; 1.298 ; 974 ; 788 ; 426 ;;
;Asociado; 1.072 ; 939 ; 320 ; 182 ;;
CARCHI;Solo; 311 ; 226 ; 360 ; 326 ;;
;Asociado; 149 ; 149 ; 84 ; 73 ;;
COTOPAXI;Solo; 8.746 ; 7.696 ; 7.245 ; 3.919 ;;
;Asociado; 99 ; 92 ; 65 ; 33 ;;
CHIMBORAZO;Solo; 7.169 ; 6.379 ; 12.787 ; 9.495 ;;
;Asociado; 50 ; 50 ; 24 ; 19 ;;
IMBABURA;Solo; 3.184 ; 3.108 ; 5.788 ; 4.089 ;;
;Asociado; 1.429 ; 1.376 ; 919 ; 159 ;;
LOJA;Solo; 623 ; 612 ; 707 ; 160 ;;
;Asociado; 245 ; 225 ; 736 ; 627 ;;
PICHINCHA;Solo; 3.034 ; 2.936 ; 2.496 ; 1.393 ;;
;Asociado; 73 ; 72 ; 91 ; 56 ;;
TUNGURAHUA;Solo; 217 ; 208 ; 415 ; 315 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 399 ; 370 ; 144 ; 17 ;;
;Asociado; 267 ; 240 ; 28 ;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 25 ; 25 ; 7 ; 7 ;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 684 ; 684 ; 663 ; 548 ;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
