;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 5.744 ; 5.032 ; 3.381 ; 2.692 ;;
REGI‡N SIERRA;; 1.426 ; 1.363 ; 767 ; 591 ;;
REGI‡N COSTA;; 4.169 ; 3.593 ; 2.573 ; 2.063 ;;
REGI‡N AMAZ‡NICA;; 150 ; 76 ; 42 ; 38 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOL÷VAR;Solo;;;;;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo;;;;;;
;Asociado;;;;;;
LOJA;Solo; 1.323 ; 1.260 ; 723 ; 567 ;;
;Asociado; 103 ; 103 ; 43 ; 24 ;;
PICHINCHA;Solo;;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 35 ; 35 ; 35 ; 28 ;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 1.469 ; 1.384 ; 1.302 ; 1.122 ;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo; 2.622 ; 2.132 ; 1.230 ; 913 ;;
;Asociado; 43 ; 43 ; 6 ;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 29 ; 29 ; 9 ; 6 ;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado; 98 ; 25 ; 17 ; 15 ;;
SUCUMB÷OS;Solo; 22 ; 22 ; 16 ; 16 ;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
