;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 13.264 ; 7.985 ; 48.379 ; 47.972 ;;
REGI‡N SIERRA;; 1.747 ; 1.142 ; 5.741 ; 5.581 ;;
REGI‡N COSTA;; 10.031 ; 6.828 ; 42.525 ; 42.392 ;;
REGI‡N AMAZ‡NICA;; 1.485 ; 15 ; 113 ;;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 58 ; 58 ; 81 ; 68 ;;
;Asociado;;;;;;
BOL÷VAR;Solo; 46 ; 46 ; 281 ; 264 ;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 45 ; 26 ; 112 ; 112 ;;
;Asociado;;;;;;
IMBABURA;Solo; 36 ;;;;;
;Asociado;;;;;;
LOJA;Solo; 77 ; 77 ; 582 ; 582 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 222 ;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 1.142 ; 815 ; 4.206 ; 4.083 ;;
;Asociado; 121 ; 121 ; 479 ; 472 ;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 56 ; 56 ; 758 ; 751 ;;
;Asociado;;;;;;
ESMERALDAS;Solo; 3.121 ; 2.155 ; 8.173 ; 8.140 ;;
;Asociado; 1.731 ; 1.042 ; 11.875 ; 11.875 ;;
GUAYAS;Solo; 422 ; 158 ; 1.730 ; 1.730 ;;
;Asociado; 77 ; 77 ; 524 ; 524 ;;
LOS R÷OS;Solo; 284 ; 274 ; 1.201 ; 1.201 ;;
;Asociado; 5 ;;;;;
MANAB÷;Solo; 3.804 ; 2.736 ; 15.791 ; 15.737 ;;
;Asociado; 216 ; 216 ; 1.839 ; 1.798 ;;
SANTA ELENA;Solo; 315 ; 114 ; 636 ; 636 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo; 1.485 ; 15 ; 113 ;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
