;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 6.839 ; 5.821 ; 37.261 ; 33.647 ;;
REGI‡N SIERRA;; 5.056 ; 4.576 ; 32.220 ; 30.582 ;;
REGI‡N COSTA;; 1.078 ; 616 ; 1.200 ; 1.178 ;;
REGI‡N AMAZ‡NICA;; 705 ; 628 ; 3.840 ; 1.888 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 60 ; 60 ; 77 ;;;
;Asociado;;;;;;
BOL÷VAR;Solo; 1.189 ; 1.167 ; 7.607 ; 7.148 ;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo; 1.233 ; 1.143 ; 9.071 ; 8.481 ;;
;Asociado; 388 ; 336 ; 1.374 ; 1.374 ;;
CHIMBORAZO;Solo; 285 ; 1 ; 2 ;;;
;Asociado;;;;;;
IMBABURA;Solo; 13 ; 13 ; 60 ;;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo;;;;;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 1.888 ; 1.857 ; 14.029 ; 13.579 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 148 ; 74 ; 121 ; 108 ;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 928 ; 540 ; 1.069 ; 1.060 ;;
;Asociado;;;;;;
LOS R÷OS;Solo; 1 ; 1 ; 7 ; 7 ;;
;Asociado; 1 ; 1 ; 3 ; 3 ;;
MANAB÷;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 70 ; 70 ; 1.272 ; 1.266 ;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo; 60 ; 29 ; 42 ; 41 ;;
;Asociado; 28 ; 28 ; 25 ;;;
SUCUMB÷OS;Solo; 548 ; 502 ; 2.501 ; 581 ;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
