;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 256.854 ; 188.469 ; 2.446.312 ; 1.983.890 ;;
REGI‡N SIERRA;; 36.195 ; 28.802 ; 264.004 ; 264.004 ;;
REGI‡N COSTA;; 177.301 ; 123.422 ; 1.586.603 ; 1.516.004 ;;
REGI‡N AMAZ‡NICA;; 43.357 ; 36.245 ; 595.705 ; 203.882 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOL÷VAR;Solo; 435 ; 355 ; 4.926 ; 4.926 ;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo; 473 ; 436 ; 4.685 ; 4.685 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo; 1.882 ; 1.311 ; 2.015 ; 2.015 ;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 13.668 ; 9.653 ; 49.496 ; 49.496 ;;
;Asociado; 624 ; 345 ; 4.493 ; 4.493 ;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 16.044 ; 13.633 ; 185.023 ; 185.023 ;;
;Asociado; 3.069 ; 3.069 ; 13.366 ; 13.366 ;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo; 98.723 ; 54.331 ; 659.452 ; 588.990 ;;
;Asociado; 2.719 ; 1.047 ; 6.944 ; 6.806 ;;
GUAYAS;Solo; 9.036 ; 8.240 ; 136.461 ; 136.461 ;;
;Asociado;;;;;;
LOS R÷OS;Solo; 54.001 ; 51.712 ; 695.168 ; 695.168 ;;
;Asociado;;;;;;
MANAB÷;Solo; 12.565 ; 7.834 ; 86.512 ; 86.512 ;;
;Asociado; 258 ; 258 ; 2.065 ; 2.065 ;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo; 8.652 ; 7.361 ; 103.685 ; 103.685 ;;
;Asociado; 217 ;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo; 34.136 ; 28.639 ; 491.282 ; 99.459 ;;
;Asociado; 351 ; 246 ; 738 ; 738 ;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
