;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 7.439 ; 5.496 ; 37.422 ; 37.421 ;;
REGI‡N SIERRA;; 5.216 ; 3.273 ; 21.592 ; 21.592 ;;
REGI‡N COSTA;; 1.654 ; 1.654 ; 12.541 ; 12.540 ;;
REGI‡N AMAZ‡NICA;; 570 ; 570 ; 3.288 ; 3.288 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo;;;;;;
;Asociado;;;;;;
BOL÷VAR;Solo;;;;;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo;;;;;;
;Asociado;;;;;;
COTOPAXI;Solo;;;;;;
;Asociado;;;;;;
CHIMBORAZO;Solo;;;;;;
;Asociado;;;;;;
IMBABURA;Solo; 35 ; 35 ; 164 ; 164 ;;
;Asociado;;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 2.419 ; 2.357 ; 17.086 ; 17.086 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo; 2.761 ; 880 ; 4.343 ; 4.343 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo; 1.629 ; 1.629 ; 12.300 ; 12.300 ;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS R÷OS;Solo; 25 ; 25 ; 241 ; 240 ;;
;Asociado;;;;;;
MANAB÷;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo; 570 ; 570 ; 3.288 ; 3.288 ;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
