;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Regi¢n y Provincia;TOTAL;SUPERFICIE PLANTADA (Has.);;;;;;;;÷NDICE;;
;;BRACHIARIA;GRAMALOTE;PASTO MIEL ;RAYGRASS;SABOYA;PASTO MIXTO;OTROS PASTOS CULTIVADOS;;;;
TOTAL NACIONAL;2.065.699;134.095;149.578;134.037;36.864;845.783;523.681;241.662;;;;
REGI‡N SIERRA;550.276;52.326;6.502;87.748;36.595;33.178;217.214;116.713;;;;
REGI‡N COSTA;1.122.761;66.391;7.136;41.485;231;785.415;171.663;50.440;;;;
REGI‡N AMAZ‡NICA;392.662;15.378;135.940;4.804;38;27.190;134.803;74.508;;;;
;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;
AZUAY;36.209;604;143;1.311;5.096;;11.524;17.530;;;;
BOL÷VAR;78.135;5.807;;21.310;1.573;4.543;18.701;26.202;;;;
CA•AR;26.145;509;84;;5.761;42;17.270;2.479;;;;
CARCHI;26.169;80;2.021;168;6.980;;15.520;1.400;;;;
COTOPAXI;66.656;2.753;1.860;5.230;1.479;1.704;25.565;28.066;;;;
CHIMBORAZO;44.936;976;;189;1.787;;29.255;12.729;;;;
IMBABURA;26.199;142;602;5.853;2.055;3.446;6.417;7.685;;;;
LOJA;35.994;198;;28.821;82;716;3.618;2.559;;;;
PICHINCHA;83.514;12.663;1.793;16.925;7.480;2.652;36.021;5.980;;;;
TUNGURAHUA;31.427;;;208;4.295;;19.819;7.105;;;;
SANTO DOMINGO DE LOS TSµCHILAS;94.890;28.592;;7.732;9;20.075;33.505;4.977;;;;
;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;
EL ORO;60.648;758;665;37.454;60;2.190;13.051;6.470;;;;
ESMERALDAS;225.040;33.014;6.224;715;;89.044;91.166;4.876;;;;
GUAYAS;118.795;2.594;;3.007;;67.667;14.607;30.919;;;;
LOS R÷OS;31.397;4.917;159;308;;13.288;9.249;3.476;;;;
MANAB÷;684.664;25.107;88;;171;611.394;43.590;4.314;;;;
SANTA ELENA;2.217;;;;;1.831;;386;;;;
;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;
MORONA SANTIAGO;113.027;742;76.140;;38;;23.029;13.078;;;;
NAPO;21.142;;1.534;4.528;;;14.103;977;;;;
ORELLANA;48.290;;2;;;14.721;15.460;18.107;;;;
PASTAZA;33.341;;28.763;48;;;4.530;;;;;
SUCUMB÷OS;104.086;454;2.825;228;;12.470;62.517;25.593;;;;
ZAMORA CHINCHIPE;72.775;14.183;26.675;;;;15.165;16.753;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;
