;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Regi¢n y Provincia;HUEVOS DE MESA EN UNA SEMANA;;;;;;;;;÷NDICE;
;AVES CRIADAS EN CAMPO;;;;AVES CRIADAS EN PLANTELES AV÷COLAS;;;;;;
;PRODUCCI‡N;DESTINO;;;PRODUCCI‡N;DESTINO;;;;;
;;Autoconsumo;Ventas ;Otros;;Autoconsumo;Ventas ;Otros;;;
TOTAL NACIONAL;4.701.114;3.896.029;536.211;268.874;81.733.062;21.970;79.447.476;2.263.616;;;
REGI‡N SIERRA;2.206.933;1.860.273;300.513;46.147;71.734.111;17.057;71.209.042;508.012;;;
REGI‡N COSTA;1.750.923;1.455.486;160.888;134.550;8.193.145;4.912;8.128.477;59.756;;;
REGI‡N AMAZ‡NICA;743.258;580.271;74.810;88.177;1.805.805;;109.957;1.695.848;;;
;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;
AZUAY;433.544;345.126;84.554;3.864;390.001;725;27.308;361.967;;;
BOL÷VAR;82.785;78.138;2.364;2.282;;;;;;;
CA•AR;238.713;217.822;19.950;941;;;;;;;
CARCHI;86.486;81.141;4.126;1.219;;;;;;;
COTOPAXI;250.536;234.109;10.122;6.305;19.525.400;4.887;19.411.458;109.056;;;
CHIMBORAZO;306.055;234.496;65.635;5.925;1.423.530;121;1.423.410;;;;
IMBABURA;131.654;115.226;6.982;9.446;;;;;;;
LOJA;279.848;237.962;41.886;;45.504;1.827;43.677;;;;
PICHINCHA;173.032;143.895;22.439;6.699;13.878.350;1.844;13.864.199;12.307;;;
TUNGURAHUA;107.680;98.107;9.573;;32.170.468;5.585;32.159.075;5.809;;;
SANTO DOMINGO DE LOS TSµCHILAS;116.601;74.251;32.883;9.467;4.300.858;2.068;4.279.916;18.874;;;
;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;
EL ORO;50.151;36.625;12.455;1.071;2.413.114;;2.413.114;;;;
ESMERALDAS;222.163;179.506;30.878;11.779;;;;;;;
GUAYAS;251.987;232.583;11.008;8.396;335.123;;275.367;59.756;;;
LOS R÷OS;233.401;212.903;10.876;9.621;2.514.234;;2.514.234;;;;
MANAB÷;993.043;793.690;95.670;103.682;2.930.675;4.912;2.925.763;;;;
SANTA ELENA;178;178;;;;;;;;;
;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;
MORONA SANTIAGO;138.647;121.101;14.433;3.112;28.152;;28.152;;;;
NAPO;41.240;40.269;971;;81.805;;81.805;;;;
ORELLANA;115.204;78.121;20.831;16.252;;;;;;;
PASTAZA;75.882;49.326;26.556;;1.695.848;;;1.695.848;;;
SUCUMB÷OS;339.893;260.435;10.646;68.812;;;;;;;
ZAMORA CHINCHIPE;32.392;31.019;1.373;;;;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;
