Cultivos permanentes;Productividad ;;;÷NDICE;
;Tm/Ha;;;;
AGUACATE (FRUTA FRESCA); 4,22 ;;;;
BANANO (FRUTA FRESCA); 37,50 ;;;;
CACAO (ALMENDRA SECA); 0,62 ;;;;
CAFê (GRANO ORO); 0,20 ;;;;
CA•A DE AZÈCAR PARA AZÈCAR (TALLO FRESCO); 79,02 ;;;;
CA•A DE AZÈCAR PARA OTROS USOS (TALLO FRESCO); 27,10 ;;;;
LIM‡N (FRUTA FRESCA); 4,97 ;;;;
MANGO (FRUTA FRESCA); 5,21 ;;;;
MARACUYµ (FRUTA FRESCA); 6,06 ;;;;
NARANJA (FRUTA FRESCA); 10,27 ;;;;
ORITO (FRUTA FRESCA); 6,40 ;;;;
PALMA AFRICANA (FRUTA FRESCA); 12,98 ;;;;
PALMITO (TALLO FRESCO); 6,81 ;;;;
PI•A (FRUTA FRESCA); 31,82 ;;;;
PLµTANO (FRUTA FRESCA); 5,65 ;;;;
TOMATE DE µRBOL (FRUTA FRESCA); 10,15 ;;;;
;;;;;
FUENTE: ESPAC - 2020;;;;;
;;;;;
Cultivos transitorios;Productividad ;;;;
;Tm/Ha;;;;
ARROZ (EN CµSCARA); 4,27 ;;;;
ARVEJA SECA (GRANO SECO); 0,60 ;;;;
ARVEJA TIERNA (EN VAINA); 3,60 ;;;;
BROCOLI (REPOLLO); 18,15 ;;;;
CEBADA (GRANO SECO); 1,26 ;;;;
CEBOLLA BLANCA (TALLO FRESCO); 5,13 ;;;;
FRêJOL SECO (GRANO SECO); 0,66 ;;;;
FRêJOL TIERNO (EN VAINA); 1,76 ;;;;
HABA SECA (GRANO SECO); 0,59 ;;;;
HABA TIERNA (EN VAINA); 4,90 ;;;;
MA÷Z DURO CHOCLO (EN CHOCLO); 3,34 ;;;;
MA÷Z DURO SECO (GRANO SECO); 3,82 ;;;;
MA÷Z SUAVE CHOCLO (EN CHOCLO); 3,68 ;;;;
MA÷Z SUAVE SECO (GRANO SECO); 1,63 ;;;;
MAN÷ (GRANO DESCASCARADO); 0,67 ;;;;
PAPA (TUBêRCULO FRESCO); 16,41 ;;;;
QUINUA (GRANO SECO); 0,93 ;;;;
SOYA (GRANO SECO); 1,38 ;;;;
TABACO (HOJA SECA); 0,74 ;;;;
TOMATE RI•‡N (FRUTA FRESCA); 14,91 ;;;;
TRIGO (GRANO SECO); 2,19 ;;;;
YUCA (RA÷Z FRESCA); 4,30 ;;;;
;;;;;
FUENTE: ESPAC - 2020;;;;;
