;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PLANTADA (Has.);;;;;;;;;;;÷NDICE
;;EDAD DE LA PLANTACI‡N;;;TIPO SE SEMILLA UTILIZADA;;;;PRµCTICA DE CULTIVO;;;;
;;Menos de 10 a§os;De 10 a menos de 20 a§os;De 20 a§os y m†s;Com£n;Mejorada;H°brida Nacional;H°brida Internacional;Riego;Aplicaci¢n de Fertilizantes;Aplicaci¢n de Fitosanitarios;;
TOTAL NACIONAL;Solo; 692.672 ; 331.861 ; 355.640 ; 634.072 ; 605.758 ; 114.516 ; 25.826 ; 502.722 ; 793.615 ; 785.640 ;;
;Asociado; 70.759 ; 29.979 ; 23.783 ; 67.278 ; 54.190 ; 2.984 ; 69 ; 25.370 ; 58.793 ; 64.721 ;;
;;;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 4.331 ; 1.107 ; 677 ; 1.202 ; 4.580 ; 321 ; 12 ; 4.153 ; 3.643 ; 2.799 ;;
;Asociado; 724 ; 606 ; 185 ; 257 ; 1.240 ; 19 ;; 1.358 ; 1.251 ; 1.098 ;;
BANANO (FRUTA FRESCA);Solo; 29.456 ; 39.793 ; 93.202 ; 84.511 ; 74.189 ; 3.752 ;; 150.923 ; 152.027 ; 146.233 ;;
;Asociado; 1.170 ; 300 ; 1.158 ; 2.474 ; 123 ; 32 ;; 77 ; 366 ; 678 ;;
CACAO (ALMENDRA SECA);Solo; 265.959 ; 135.281 ; 137.023 ; 208.656 ; 296.953 ; 31.648 ; 1.006 ; 127.622 ; 259.774 ; 276.167 ;;
;Asociado; 30.518 ; 10.485 ; 11.313 ; 15.716 ; 34.797 ; 1.802 ;; 8.759 ; 26.943 ; 29.564 ;;
CAFê (GRANO ORO);Solo; 20.722 ; 4.593 ; 6.395 ; 12.401 ; 17.996 ; 828 ; 486 ; 2.649 ; 7.036 ; 8.970 ;;
;Asociado; 1.475 ; 1.136 ; 468 ; 1.682 ; 1.074 ; 322 ;; 327 ; 1.110 ; 1.630 ;;
CA•A DE AZÈCAR PARA AZÈCAR (TALLO FRESCO);Solo; 118.712 ; 17.740 ; 5.557 ; 53.319 ; 68.244 ; 18.483 ; 1.963 ; 134.072 ; 140.381 ; 118.377 ;;
;Asociado;;;;;;;;;;;;
CA•A DE AZÈCAR PARA OTROS USOS (TALLO FRESCO);Solo; 7.860 ; 3.871 ; 4.245 ; 12.271 ; 3.463 ; 229 ; 14 ; 3.017 ; 3.008 ; 4.001 ;;
;Asociado;;;;;;;;;;;;
LIM‡N (FRUTA FRESCA);Solo; 2.836 ; 545 ; 185 ; 1.716 ; 1.817 ; 34 ;; 2.388 ; 2.212 ; 2.265 ;;
;Asociado; 1.439 ; 830 ; 378 ; 1.023 ; 1.622 ; 1 ;; 2.168 ; 2.450 ; 1.678 ;;
MANGO (FRUTA FRESCA);Solo; 3.524 ; 4.567 ; 10.122 ; 14.063 ; 3.814 ; 336 ;; 6.339 ; 9.315 ; 8.692 ;;
