;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PERDIDA (Has.);;;;;;;;÷NDICE;
;;Total;Sequ°a;Helada;Plagas;Enfermedades;Inundaci¢n;Otra raz¢n;;;
TOTAL NACIONAL;Solo; 81.886 ; 3.774 ; 968 ; 17.554 ; 29.145 ; 1.261 ; 29.184 ;;;
;Asociado; 7.487 ; 345 ; 86 ; 3.933 ; 1.929 ; 31 ; 1.163 ;;;
;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 364 ; 74 ;; 82 ; 14 ;; 194 ;;;
;Asociado; 120 ;;; 74 ;;; 46 ;;;
BANANO (FRUTA FRESCA);Solo; 1.737 ; 8 ; 63 ; 838 ; 261 ;; 567 ;;;
;Asociado; 438 ; 4 ;; 154 ; 280 ;;;;;
CACAO (ALMENDRA SECA);Solo; 21.944 ; 1.867 ; 572 ; 5.780 ; 4.681 ; 578 ; 8.465 ;;;
;Asociado; 2.808 ; 153 ; 40 ; 1.610 ; 601 ;; 404 ;;;
CAFê (GRANO ORO);Solo; 2.510 ; 288 ;; 361 ; 192 ; 121 ; 1.547 ;;;
;Asociado; 457 ; 4 ; 9 ; 94 ; 180 ;; 169 ;;;
CA•A DE AZÈCAR PARA AZÈCAR (TALLO FRESCO);Solo; 1.879 ;;;;; 396 ; 1.483 ;;;
;Asociado;;;;;;;;;;
CA•A DE AZÈCAR PARA OTROS USOS (TALLO FRESCO);Solo; 578 ; 18 ;; 348 ; 77 ;; 134 ;;;
;Asociado;;;;;;;;;;
LIM‡N (FRUTA FRESCA);Solo; 189 ; 10 ;; 160 ;;; 19 ;;;
;Asociado; 6 ;; 3 ; 4 ;;; 0 ;;;
MANGO (FRUTA FRESCA);Solo; 1.638 ; 33 ; 109 ; 330 ;;; 1.165 ;;;
;Asociado;;;;;;;;;;
MARACUYµ (FRUTA FRESCA);Solo; 523 ; 398 ; 15 ; 84 ; 11 ;; 15 ;;;
;Asociado;;;;;;;;;;
NARANJA (FRUTA FRESCA);Solo; 248 ;;; 124 ; 62 ;; 62 ;;;
;Asociado; 670 ;; 3 ; 449 ; 188 ; 31 ;;;;
ORITO (FRUTA FRESCA);Solo; 813 ;;; 145 ;;; 668 ;;;
;Asociado;;;;;;;;;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 38.848 ; 241 ; 33 ; 6.893 ; 22.501 ;; 9.180 ;;;
;Asociado; 715 ;;; 270 ; 445 ;;;;;
PALMITO (TALLO FRESCO);Solo; 1.943 ;;; 62 ;;; 1.881 ;;;
;Asociado;;;;;;;;;;
PI•A (FRUTA FRESCA);Solo; 166 ;;; 12 ;;; 155 ;;;
;Asociado;;;;;;;;;;
PLµTANO (FRUTA FRESCA);Solo; 3.203 ; 705 ; 47 ; 1.236 ; 262 ; 165 ; 788 ;;;
;Asociado; 2.023 ; 185 ; 30 ; 1.262 ; 173 ;; 372 ;;;
TOMATE DE µRBOL (FRUTA FRESCA);Solo; 41 ; 0 ;; 9 ; 2 ;; 30 ;;;
;Asociado;;;;;;;;;;
OTROS PERMANENTES;Solo; 5.262 ; 132 ; 129 ; 1.089 ; 1.081 ;; 2.831 ;;;
;Asociado; 250 ;; 1 ; 15 ; 62 ;; 172 ;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;
