;;;;;÷NDICE
Cultivos permanentes;Superficie regada;;;;
;Hect†reas;;;;
AGUACATE (FRUTA FRESCA); 5.511 ;;;;
BANANO (FRUTA FRESCA); 151.000 ;;;;
CACAO (ALMENDRA SECA); 136.381 ;;;;
CAFê (GRANO ORO); 2.976 ;;;;
CA•A DE AZÈCAR PARA AZÈCAR (TALLO FRESCO); 134.072 ;;;;
CA•A DE AZÈCAR PARA OTROS USOS (TALLO FRESCO); 3.017 ;;;;
LIM‡N (FRUTA FRESCA); 4.556 ;;;;
MANGO (FRUTA FRESCA); 6.382 ;;;;
MARACUYµ (FRUTA FRESCA); 2.740 ;;;;
NARANJA (FRUTA FRESCA); 3.896 ;;;;
ORITO (FRUTA FRESCA); 620 ;;;;
PALMA AFRICANA (FRUTA FRESCA); 36.888 ;;;;
PALMITO (TALLO FRESCO);;;;;
PI•A (FRUTA FRESCA); 2.045 ;;;;
PLµTANO (FRUTA FRESCA); 23.287 ;;;;
TOMATE DE µRBOL (FRUTA FRESCA); 1.337 ;;;;
;;;;;
FUENTE: ESPAC - 2020;;;;;
;;;;;
Cultivos transitorios;Superficie regada;;;;
;Hect†reas;;;;
ARROZ (EN CµSCARA); 253.024 ;;;;
ARVEJA SECA (GRANO SECO); 255 ;;;;
ARVEJA TIERNA (EN VAINA); 2.218 ;;;;
BROCOLI (REPOLLO); 10.103 ;;;;
CEBADA (GRANO SECO); 2.138 ;;;;
CEBOLLA BLANCA (TALLO FRESCO); 1.808 ;;;;
FRêJOL SECO (GRANO SECO); 3.752 ;;;;
FRêJOL TIERNO (EN VAINA); 2.807 ;;;;
HABA SECA (GRANO SECO); 74 ;;;;
HABA TIERNA (EN VAINA); 2.798 ;;;;
MA÷Z DURO CHOCLO (EN CHOCLO); 2.394 ;;;;
MA÷Z DURO SECO (GRANO SECO); 61.425 ;;;;
MA÷Z SUAVE CHOCLO (EN CHOCLO); 6.495 ;;;;
MA÷Z SUAVE SECO (GRANO SECO); 7.281 ;;;;
MAN÷ (GRANO DESCASCARADO); 1.247 ;;;;
PAPA (TUBêRCULO FRESCO); 10.066 ;;;;
QUINUA (GRANO SECO); 2.056 ;;;;
SOYA (GRANO SECO); 3.649 ;;;;
TABACO (HOJA SECA); 6.431 ;;;;
TOMATE RI•‡N (FRUTA FRESCA); 2.592 ;;;;
TRIGO (GRANO SECO); 1.733 ;;;;
YUCA (RA÷Z FRESCA); 300 ;;;;
;;;;;
FUENTE: ESPAC - 2020;;;;;
