Cultivo;Superficie plantada por tipo de semilla (Hect†reas)-Cultivos permanentes;;;;;÷NDICE;;;
;Com£n;Mejorada;H°brida Nacional;H°brida Internacional;;;;;
AGUACATE (FRUTA FRESCA); 1.458 ; 5.820 ; 340 ; 12 ;;;;;
BANANO (FRUTA FRESCA); 86.985 ; 74.312 ; 3.784 ;;;;;;
CACAO (ALMENDRA SECA); 224.372 ; 331.750 ; 33.450 ; 1.006 ;;;;;
CAFê (GRANO ORO); 14.083 ; 19.070 ; 1.150 ; 486 ;;;;;
CA•A DE AZÈCAR PARA AZÈCAR (TALLO FRESCO); 53.319 ; 68.244 ; 18.483 ; 1.963 ;;;;;
CA•A DE AZÈCAR PARA OTROS USOS (TALLO FRESCO); 12.271 ; 3.463 ; 229 ; 14 ;;;;;
LIM‡N (FRUTA FRESCA); 2.739 ; 3.439 ; 35 ;;;;;;
MANGO (FRUTA FRESCA); 14.334 ; 3.857 ; 336 ;;;;;;
MARACUYµ (FRUTA FRESCA); 9.453 ; 3.724 ; 53 ; 35 ;;;;;
NARANJA (FRUTA FRESCA); 8.438 ; 7.547 ; 66 ; 69 ;;;;;
ORITO (FRUTA FRESCA); 5.795 ; 1.044 ;;;;;;;
PALMA AFRICANA (FRUTA FRESCA); 82.418 ; 97.703 ; 56.492 ; 20.240 ;;;;;
PALMITO (TALLO FRESCO); 1.200 ; 4.858 ;; 1.381 ;;;;;
PI•A (FRUTA FRESCA); 3.607 ; 1.193 ; 59 ;;;;;;
PLµTANO (FRUTA FRESCA); 125.467 ; 17.880 ; 2.083 ; 72 ;;;;;
TOMATE DE µRBOL (FRUTA FRESCA); 1.026 ; 871 ; 40 ; 7 ;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;
;;;;;;;;;
Cultivo;Superficie sembrada por tipo de semilla (Hect†reas)- Cultivos transitorios;;;;;;;;
;Com£n;Mejorada;Certificada;H°brida Nacional;H°brida Internacional;;;;
ARROZ (EN CµSCARA); 180.851 ; 71.087 ; 60.152 ; 1.498 ; 1.435 ;;;;
ARVEJA SECA (GRANO SECO); 1.449 ; 83 ;;;;;;;
ARVEJA TIERNA (EN VAINA); 3.405 ; 1.981 ; 388 ; 20 ;;;;;
BROCOLI (REPOLLO); 1.440 ; 3.592 ; 5.105 ;;;;;;
CEBADA (GRANO SECO); 10.016 ; 1.535 ; 58 ; 25 ;;;;;
CEBOLLA BLANCA (TALLO FRESCO); 4.277 ; 178 ; 5 ;;;;;;
FRêJOL SECO (GRANO SECO); 17.597 ; 1.488 ; 9 ;;;;;;
FRêJOL TIERNO (EN VAINA); 5.427 ; 1.767 ; 214 ; 33 ; 150 ;;;;
HABA SECA (GRANO SECO); 1.898 ; 45 ;;;;;;;
HABA TIERNA (EN VAINA); 4.658 ; 1.323 ; 2 ; 11 ;;;;;
MA÷Z DURO CHOCLO (EN CHOCLO); 2.086 ; 2.684 ; 169 ;;;;;;
MA÷Z DURO SECO (GRANO SECO); 78.236 ; 109.081 ; 169.768 ; 6.276 ; 2.364 ;;;;
MA÷Z SUAVE CHOCLO (EN CHOCLO); 14.008 ; 1.380 ; 75 ; 39 ; 3 ;;;;
MA÷Z SUAVE SECO (GRANO SECO); 53.433 ; 4.815 ; 218 ; 47 ;;;;;
MAN÷ (GRANO DESCASCARADO); 5.114 ; 588 ; 42 ;;;;;;
PAPA (TUBêRCULO FRESCO); 20.113 ; 5.307 ; 457 ; 48 ;;;;;
QUINUA (GRANO SECO); 4.417 ; 89 ; 859 ;;;;;;
SOYA (GRANO SECO); 14.903 ; 3.802 ; 2.217 ;;;;;;
TABACO (HOJA SECA); 184 ; 3.342 ; 2.906 ;;;;;;
TOMATE RI•‡N (FRUTA FRESCA); 378 ; 1.527 ; 700 ; 44 ; 4 ;;;;
TRIGO (GRANO SECO); 3.768 ; 1.773 ; 1.340 ;;;;;;
YUCA (RA÷Z FRESCA); 12.557 ; 1.483 ; 1.176 ; 195 ;;;;;
;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;
