;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Plantada ; Cosechada ;;;;
TOTAL NACIONAL;; 1.944 ; 1.044 ; 10.605 ; 10.472 ;;
REGI‡N SIERRA;; 1.943 ; 1.043 ; 10.594 ; 10.461 ;;
REGI‡N COSTA;;;;;;;
REGI‡N AMAZ‡NICA;; 1 ; 1 ; 11 ; 11 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 114 ; 80 ; 394 ; 388 ;;
;Asociado; 19 ;;;;;
BOL÷VAR;Solo; 244 ; 191 ; 3.404 ; 3.357 ;;
;Asociado;;;;;;
CA•AR;Solo; 4 ;;;;;
;Asociado;;;;;;
CARCHI;Solo; 38 ; 18 ; 8 ;;;
;Asociado;;;;;;
COTOPAXI;Solo; 128 ; 115 ; 630 ; 608 ;;
;Asociado; 33 ; 2 ; 3 ; 3 ;;
CHIMBORAZO;Solo; 199 ; 10 ; 88 ; 79 ;;
;Asociado;;;;;;
IMBABURA;Solo; 110 ; 5 ; 19 ; 15 ;;
;Asociado; 4 ;;;;;
LOJA;Solo;;;;;;
;Asociado;;;;;;
PICHINCHA;Solo; 184 ; 183 ; 282 ; 282 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo; 829 ; 422 ; 5.680 ; 5.643 ;;
;Asociado; 37 ; 18 ; 86 ; 86 ;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo;;;;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo; 1 ; 1 ; 11 ; 11 ;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
