;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 2.653 ; 2.579 ; 38.438 ; 37.531 ;;
REGI‡N SIERRA;; 1.976 ; 1.903 ; 35.102 ; 34.195 ;;
REGI‡N COSTA;; 633 ; 633 ; 3.105 ; 3.105 ;;
REGI‡N AMAZ‡NICA;; 43 ; 43 ; 232 ; 230 ;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 122 ; 114 ; 2.535 ; 2.516 ;;
;Asociado;;;;;;
BOL÷VAR;Solo; 91 ; 88 ; 4.464 ; 4.376 ;;
;Asociado;;;;;;
CA•AR;Solo;;;;;;
;Asociado;;;;;;
CARCHI;Solo; 184 ; 184 ; 4.067 ; 4.028 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 174 ; 174 ; 4.588 ; 4.431 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 119 ; 100 ; 3.106 ; 2.986 ;;
;Asociado;;;;;;
IMBABURA;Solo; 971 ; 971 ; 11.746 ; 11.653 ;;
;Asociado;;;;;;
LOJA;Solo; 4 ; 4 ; 236 ; 236 ;;
;Asociado;;;;;;
PICHINCHA;Solo; 263 ; 225 ; 3.119 ; 2.761 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo; 48 ; 42 ; 1.242 ; 1.209 ;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 8 ; 8 ; 25 ; 25 ;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo; 39 ; 39 ; 1.470 ; 1.470 ;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo; 579 ; 579 ; 1.579 ; 1.579 ;;
;Asociado;;;;;;
SANTA ELENA;Solo; 8 ; 8 ; 31 ; 31 ;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo; 43 ; 43 ; 232 ; 230 ;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
