;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Regi¢n y Provincia;TOTAL;;;NÈMERO DE TRABAJADORES;;;;;;;;;;÷NDICE
;;;;SIN REMUNERACI‡N;;;TRABAJADORES REMUNERADOS;;;;;;;
;;;;PERSONA PRODUCTORA Y/O FAMILIARES;;;PERMANENTES;;;OCASIONALES;;;;
;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;;
TOTAL NACIONAL;2.833.115;2.064.684;768.431;1.725.190;1.066.334;658.856;217.926;169.822;48.104;889.998;828.528;61.471;;
REGI‡N SIERRA;1.401.826;846.653;555.173;1.036.832;565.014;471.818;89.297;55.934;33.362;275.697;225.704;49.993;;
REGI‡N COSTA;1.276.118;1.118.948;157.170;553.716;420.782;132.934;119.513;106.177;13.336;602.890;591.989;10.901;;
REGI‡N AMAZ‡NICA;155.171;99.084;56.088;134.643;80.538;54.105;9.117;7.711;1.406;11.412;10.835;577;;
;;;;;;;;;;;;;;
REGI‡N SIERRA;;;;;;;;;;;;;;
AZUAY;136.073;69.671;66.402;126.409;62.262;64.146;3.147;2.257;889;6.518;5.151;1.367;;
BOL÷VAR;139.408;115.432;23.976;72.003;50.280;21.723;1.873;1.734;139;65.532;63.418;2.114;;
CA•AR;48.347;25.718;22.629;38.505;18.760;19.745;3.072;2.311;761;6.770;4.646;2.124;;
CARCHI;77.798;56.197;21.601;29.263;19.426;9.837;3.704;2.501;1.203;44.831;34.270;10.562;;
COTOPAXI;209.383;104.831;104.552;176.683;84.992;91.691;15.071;7.961;7.110;17.628;11.878;5.751;;
CHIMBORAZO;244.858;128.288;116.570;210.244;108.452;101.791;5.986;3.620;2.366;28.628;16.216;12.412;;
IMBABURA;78.372;49.927;28.445;61.345;35.582;25.764;4.224;3.353;870;12.803;10.992;1.811;;
LOJA;100.342;81.849;18.492;54.979;37.392;17.586;1.648;1.383;265;43.715;43.073;642;;
PICHINCHA;148.422;87.552;60.869;90.624;51.630;38.994;40.455;22.112;18.343;17.342;13.811;3.532;;
TUNGURAHUA;173.813;90.615;83.198;149.855;76.847;73.007;3.418;2.434;984;20.540;11.333;9.207;;
SANTO DOMINGO DE LOS TSµCHILAS;45.009;36.572;8.437;26.922;19.389;7.532;6.699;6.267;432;11.388;10.916;473;;
;;;;;;;;;;;;;;
REGI‡N COSTA;;;;;;;;;;;;;;
EL ORO;48.044;39.710;8.334;23.118;16.313;6.805;19.454;18.103;1.352;5.471;5.294;177;;
ESMERALDAS;86.887;67.228;19.660;62.309;43.896;18.413;10.989;10.149;841;13.588;13.183;406;;
GUAYAS;384.346;344.908;39.438;161.473;129.265;32.208;38.042;32.463;5.579;184.831;183.180;1.651;;
LOS R÷OS;265.945;232.178;33.767;116.601;90.304;26.297;40.267;35.174;5.093;109.076;106.700;2.377;;
MANAB÷;487.413;431.672;55.741;188.968;139.871;49.098;9.486;9.133;353;288.959;282.668;6.290;;
SANTA ELENA;3.483;3.252;231;1.246;1.132;113;1.274;1.156;118;964;964;;;
;;;;;;;;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;;;;;;;;
MORONA SANTIAGO;27.093;15.987;11.107;22.990;12.597;10.393;2.099;1.562;536;2.005;1.827;177;;
NAPO;18.477;11.496;6.981;16.895;10.100;6.795;688;595;93;894;801;92;;
ORELLANA;27.080;17.848;9.231;24.236;15.081;9.155;1.030;1.021;9;1.814;1.746;68;;
PASTAZA;11.987;7.109;4.878;10.687;6.035;4.652;930;705;225;369;369;0;;
SUCUMB÷OS;54.769;37.245;17.524;45.245;28.489;16.756;4.253;3.716;536;5.271;5.040;231;;
ZAMORA CHINCHIPE;15.766;9.398;6.367;14.589;8.235;6.354;117;111;6;1.059;1.052;8;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
