;;;;;;;
;;;;;;;
;;;;;;;
Regi¢n y Provincia;; SUPERFICIE (Has.) ;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE
;; Sembrada ; Cosechada ;;;;
TOTAL NACIONAL;; 6.880 ; 6.698 ; 14.647 ; 13.242 ;;
REGI‡N SIERRA;; 6.863 ; 6.681 ; 14.641 ; 13.242 ;;
REGI‡N COSTA;; 17 ; 17 ; 6 ;;;
REGI‡N AMAZ‡NICA;;;;;;;
;;;;;;;
REGI‡N SIERRA;;;;;;;
AZUAY;Solo; 95 ; 95 ; 85 ; 28 ;;
;Asociado;;;;;;
BOL÷VAR;Solo; 1.119 ; 1.058 ; 1.542 ; 1.215 ;;
;Asociado;;;;;;
CA•AR;Solo; 32 ; 32 ; 36 ; 7 ;;
;Asociado;;;;;;
CARCHI;Solo; 2.976 ; 2.967 ; 7.960 ; 7.960 ;;
;Asociado;;;;;;
COTOPAXI;Solo; 205 ; 164 ; 162 ; 30 ;;
;Asociado;;;;;;
CHIMBORAZO;Solo; 1.361 ; 1.336 ; 3.375 ; 2.739 ;;
;Asociado;;;;;;
IMBABURA;Solo; 699 ; 674 ; 1.091 ; 1.026 ;;
;Asociado;;;;;;
LOJA;Solo; 15 ; 15 ; 1 ;;;
;Asociado;;;;;;
PICHINCHA;Solo; 361 ; 340 ; 387 ; 236 ;;
;Asociado;;;;;;
TUNGURAHUA;Solo;;;;;;
;Asociado;;;;;;
SANTO DOMINGO DE LOS TSµCHILAS;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N COSTA;;;;;;;
EL ORO;Solo; 17 ; 17 ; 6 ;;;
;Asociado;;;;;;
ESMERALDAS;Solo;;;;;;
;Asociado;;;;;;
GUAYAS;Solo;;;;;;
;Asociado;;;;;;
LOS R÷OS;Solo;;;;;;
;Asociado;;;;;;
MANAB÷;Solo;;;;;;
;Asociado;;;;;;
SANTA ELENA;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
REGI‡N AMAZ‡NICA;;;;;;;
MORONA SANTIAGO;Solo;;;;;;
;Asociado;;;;;;
NAPO;Solo;;;;;;
;Asociado;;;;;;
ORELLANA;Solo;;;;;;
;Asociado;;;;;;
PASTAZA;Solo;;;;;;
;Asociado;;;;;;
SUCUMB÷OS;Solo;;;;;;
;Asociado;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;
;Asociado;;;;;;
;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;
