;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS PERMANENTES;; SUPERFICIE (Has.) ;;; PRODUCCI‡N (Tm.) ; VENTAS (Tm.) ;;÷NDICE;;;
;; Plantada ; Edad Productiva ; Cosechada ;;;;;;;
TOTAL NACIONAL;Solo; 1.380.172 ; 1.272.174 ; 1.190.288 ;;;;;;;
;Asociado; 124.521 ; 109.504 ; 102.017 ;;;;;;;
;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 6.115 ; 3.857 ; 3.493 ; 16.384 ; 15.721 ;;;;;
;Asociado; 1.515 ; 1.450 ; 1.330 ; 3.969 ; 3.792 ;;;;;
BANANO (FRUTA FRESCA);Solo; 162.452 ; 160.211 ; 158.473 ; 6.016.779 ; 5.912.459 ;;;;;
;Asociado; 2.629 ; 2.594 ; 2.156 ; 6.611 ; 5.110 ;;;;;
CACAO (ALMENDRA SECA);Solo; 538.263 ; 506.984 ; 485.040 ; 304.857 ; 304.382 ;;;;;
;Asociado; 52.315 ; 45.115 ; 42.307 ; 23.046 ; 23.033 ;;;;;
CAFê (GRANO ORO);Solo; 31.710 ; 27.159 ; 24.649 ; 4.944 ; 4.735 ;;;;;
;Asociado; 3.078 ; 2.717 ; 2.260 ; 336 ; 297 ;;;;;
CA•A DE AZÈCAR PARA AZÈCAR (TALLO FRESCO);Solo; 142.010 ; 141.285 ; 139.406 ; 11.016.167 ; 4.663.456 ;;;;;
;Asociado;;;;;;;;;;
CA•A DE AZÈCAR PARA OTROS USOS (TALLO FRESCO);Solo; 15.976 ; 14.379 ; 13.801 ; 374.078 ; 86.631 ;;;;;
;Asociado;;;;;;;;;;
LIM‡N (FRUTA FRESCA);Solo; 3.566 ; 3.233 ; 3.044 ; 15.602 ; 15.345 ;;;;;
;Asociado; 2.646 ; 2.576 ; 2.570 ; 12.312 ; 12.232 ;;;;;
MANGO (FRUTA FRESCA);Solo; 18.213 ; 16.789 ; 15.152 ; 79.440 ; 62.567 ;;;;;
;Asociado; 314 ; 283 ; 283 ; 982 ; 981 ;;;;;
MARACUYµ (FRUTA FRESCA);Solo; 11.114 ; 7.051 ; 6.528 ; 33.663 ; 33.304 ;;;;;
;Asociado; 2.150 ; 1.457 ; 1.457 ; 14.716 ; 14.669 ;;;;;
NARANJA (FRUTA FRESCA);Solo; 4.821 ; 4.226 ; 3.978 ; 28.844 ; 27.948 ;;;;;
;Asociado; 11.299 ; 10.926 ; 10.256 ; 117.315 ; 117.191 ;;;;;
ORITO (FRUTA FRESCA);Solo; 6.423 ; 6.270 ; 5.457 ; 35.859 ; 32.270 ;;;;;
;Asociado; 417 ; 364 ; 364 ; 1.402 ; 1.377 ;;;;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 249.615 ; 222.352 ; 183.504 ; 2.418.706 ; 1.956.422 ;;;;;
;Asociado; 7.239 ; 5.680 ; 4.965 ; 27.606 ; 27.469 ;;;;;
PALMITO (TALLO FRESCO);Solo; 7.439 ; 7.439 ; 5.496 ; 37.422 ; 37.421 ;;;;;
;Asociado;;;;;;;;;;
PI•A (FRUTA FRESCA);Solo; 4.796 ; 3.437 ; 3.270 ; 104.059 ; 103.318 ;;;;;
;Asociado; 63 ;;;;;;;;;
PLµTANO (FRUTA FRESCA);Solo; 110.148 ; 100.994 ; 97.791 ; 566.266 ; 506.707 ;;;;;
;Asociado; 35.353 ; 32.127 ; 30.104 ; 156.032 ; 146.370 ;;;;;
TOMATE DE µRBOL (FRUTA FRESCA);Solo; 1.850 ; 1.066 ; 1.025 ; 10.516 ; 10.383 ;;;;;
;Asociado; 93 ; 20 ; 20 ; 89 ; 89 ;;;;;
OTROS PERMANENTES;Solo; 65.662 ; 45.443 ; 40.181 ;;;;;;;
;Asociado; 5.409 ; 4.196 ; 3.946 ;;;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2020;;;;;;;;;;;
