INDICADORES DEL PLAN NACIONAL DE DESARROLLO;;;;;;;;;
;;;;;ÍNDICE;;;;
EJE 2: Economía al servicio de la sociedad;;;;;;;;;
Objetivo 6: Desarrollar las capacidades productivas y del entorno, para lograr la soberanía alimentaria y el Buen Vivir Rural;;;;;;;;;
"Meta: 5.5 Incrementar del 86,44% al 86,87% la participación de los alimentos producidos en el país en el consumo de los hogares ecuatorianos a 2021.
nacional a 2021.";;;;;;;;;
Indicador: Índice de participación de alimentos;;;;;;;;;
;;;;;;;;;
Cultivo;Índice de participación;;;;;;;;
;;;;;;;;;
AGUACATE (FRUTA FRESCA);100,00%;;;;;;;;
ARROZ (EN CÁSCARA);99,98%;;;;;;;;
ARVEJA SECA (GRANO SECO);100,00%;;;;;;;;
ARVEJA TIERNA (EN VAINA);100,00%;;;;;;;;
BANANO (FRUTA FRESCA);100,00%;;;;;;;;
BROCOLI (REPOLLO);100,00%;;;;;;;;
CACAO (ALMENDRA SECA);98,83%;;;;;;;;
CAFÉ (GRANO ORO);95,15%;;;;;;;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);100,00%;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);100,00%;;;;;;;;
CEBADA (GRANO SECO);20,22%;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);100,00%;;;;;;;;
FRÉJOL SECO (GRANO SECO);94,89%;;;;;;;;
FRÉJOL TIERNO (EN VAINA);100,00%;;;;;;;;
HABA SECA (GRANO SECO);58,66%;;;;;;;;
HABA TIERNA (EN VAINA);100,00%;;;;;;;;
LIMÓN (FRUTA FRESCA);96,62%;;;;;;;;
MAÍZ DURO CHOCLO (EN CHOCLO);100,00%;;;;;;;;
MAÍZ DURO SECO (GRANO SECO);97,09%;;;;;;;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);100,00%;;;;;;;;
MAÍZ SUAVE SECO (GRANO SECO);100,00%;;;;;;;;
MANGO (FRUTA FRESCA);100,00%;;;;;;;;
MANÍ (GRANO DESCASCARADO);44,04%;;;;;;;;
MARACUYÁ (FRUTA FRESCA);100,00%;;;;;;;;
NARANJA (FRUTA FRESCA);91,85%;;;;;;;;
ORITO (FRUTA FRESCA);100,00%;;;;;;;;
PALMA AFRICANA (FRUTA FRESCA);99,10%;;;;;;;;
PALMITO (TALLO FRESCO);100,00%;;;;;;;;
PAPA (TUBÉRCULO FRESCO);100,00%;;;;;;;;
PIÑA (FRUTA FRESCA);100,00%;;;;;;;;
PLÁTANO (FRUTA FRESCA);100,00%;;;;;;;;
QUINUA (GRANO SECO);100,00%;;;;;;;;
SOYA (GRANO SECO);25,82%;;;;;;;;
TABACO (HOJA SECA);100,00%;;;;;;;;
TOMATE DE ÁRBOL (FRUTA FRESCA);100,00%;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);100,00%;;;;;;;;
TRIGO (GRANO SECO);0,29%;;;;;;;;
YUCA (RAÍZ FRESCA);100,00%;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;
