INDICADORES DEL PLAN NACIONAL DE DESARROLLO;;;;;;ÍNDICE;;;
;;;;;;;;;
EJE 2: Economía al servicio de la sociedad;;;;;;;;;
Objetivo 6: Desarrollar las capacidades productivas y del entorno, para lograr la soberanía alimentaria y el Buen Vivir Rural;;;;;;;;;
Meta: 6.4 Incrementar el acceso a riego de 760 473 ha. a 826 695 ha. a 2021.;;;;;;;;;
Indicador de apoyo 1: Superficie regada por tipo de cultivo;;;;;;;;;
;;;;;;;;;
Cultivo;Superficie regada (Hectáreas);;;;;;;;
;;;;;;;;;
AGUACATE (FRUTA FRESCA); 6.476 ;;;;;;;;
ARROZ (EN CÁSCARA); 213.043 ;;;;;;;;
ARVEJA SECA (GRANO SECO); 113 ;;;;;;;;
ARVEJA TIERNA (EN VAINA); 1.660 ;;;;;;;;
BANANO (FRUTA FRESCA); 170.371 ;;;;;;;;
BROCOLI (REPOLLO); 9.907 ;;;;;;;;
CACAO (ALMENDRA SECA); 135.000 ;;;;;;;;
CAFÉ (GRANO ORO); 1.232 ;;;;;;;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO); 122.278 ;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO); 2.760 ;;;;;;;;
CEBADA (GRANO SECO); 1.656 ;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO); 3.737 ;;;;;;;;
FRÉJOL SECO (GRANO SECO); 3.910 ;;;;;;;;
FRÉJOL TIERNO (EN VAINA); 2.114 ;;;;;;;;
HABA SECA (GRANO SECO); 363 ;;;;;;;;
HABA TIERNA (EN VAINA); 3.029 ;;;;;;;;
LIMÓN (FRUTA FRESCA); 4.446 ;;;;;;;;
MAÍZ DURO CHOCLO (EN CHOCLO); 521 ;;;;;;;;
MAÍZ DURO SECO (GRANO SECO); 45.400 ;;;;;;;;
MAÍZ SUAVE CHOCLO (EN CHOCLO); 5.964 ;;;;;;;;
MAÍZ SUAVE SECO (GRANO SECO); 5.294 ;;;;;;;;
MANGO (FRUTA FRESCA); 7.061 ;;;;;;;;
MANÍ (GRANO DESCASCARADO); 692 ;;;;;;;;
MARACUYÁ (FRUTA FRESCA); 2.120 ;;;;;;;;
NARANJA (FRUTA FRESCA); 3.399 ;;;;;;;;
ORITO (FRUTA FRESCA); 1.313 ;;;;;;;;
PALMA AFRICANA (FRUTA FRESCA); 33.080 ;;;;;;;;
PALMITO (TALLO FRESCO);;;;;;;;;
PAPA (TUBÉRCULO FRESCO); 8.245 ;;;;;;;;
PIÑA (FRUTA FRESCA); 1.698 ;;;;;;;;
PLÁTANO (FRUTA FRESCA); 25.584 ;;;;;;;;
QUINUA (GRANO SECO); 1.227 ;;;;;;;;
SOYA (GRANO SECO); 4.631 ;;;;;;;;
TABACO (HOJA SECA); 3.650 ;;;;;;;;
TOMATE DE ÁRBOL (FRUTA FRESCA); 2.019 ;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA); 1.372 ;;;;;;;;
TRIGO (GRANO SECO); 376 ;;;;;;;;
YUCA (RAÍZ FRESCA); 1.035 ;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;
