;;;;;;;;;;;;
TABLA 10.;;;;;;;;;;;;
NÚMERO DE CABEZAS DE GANADO AL DÍA DE LA ENTREVISTA, SEGÚN ESPECIES;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;
(Unidades);;;;;;;;;;;;
;;;;;;;;;;;;
Región y Provincia;NÚMERO TOTAL DE CABEZAS (Machos y Hembras);;;;;;;;ÍNDICE;;;
;Vacuno;Porcino ;Ovino;Asnal;Caballar;Mular ;Caprino;;;;;
TOTAL NACIONAL;4.306.244;1.162.685;464.644;61.155;196.886;83.008;28.391;;;;;
REGIÓN SIERRA;2.225.923;689.953;442.153;44.383;98.922;20.874;24.881;;;;;
REGIÓN COSTA;1.710.130;425.463;19.692;16.323;79.643;58.098;3.216;;;;;
REGIÓN AMAZÓNICA;370.190;47.269;2.799;448;18.321;4.036;294;;;;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
AZUAY;329.670;47.140;48.337;693;20.195;473;752;;;;;
BOLÍVAR;156.195;45.478;19.579;2.170;7.968;5.950;27;;;;;
CAÑAR;176.015;16.775;16.167;770;7.381;549;;;;;;
CARCHI;100.120;21.495;1.229;124;4.680;148;191;;;;;
COTOPAXI;309.495;128.386;126.821;10.143;11.304;3.741;1.309;;;;;
CHIMBORAZO;315.498;76.646;142.849;17.850;11.019;1.952;922;;;;;
IMBABURA;92.492;21.986;4.576;1.100;5.633;642;1.893;;;;;
LOJA;138.125;40.973;9.869;5.125;9.762;2.434;17.201;;;;;
PICHINCHA;285.532;57.933;26.493;720;13.705;1.417;2.342;;;;;
TUNGURAHUA;163.983;97.729;46.110;4.967;4.826;753;244;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;158.798;135.412;122;721;2.450;2.816;;;;;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
EL ORO;147.850;39.776;13.632;570;7.032;2.293;542;;;;;
ESMERALDAS;272.247;40.424;1.177;1.261;19.652;13.656;671;;;;;
GUAYAS;275.280;153.205;3.739;816;16.474;3.134;216;;;;;
LOS RÍOS;82.481;44.823;464;429;5.273;2.430;;;;;;
MANABÍ;930.153;139.621;680;13.242;30.905;36.575;1.350;;;;;
SANTA ELENA;2.119;7.614;;5;307;8;436;;;;;
;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;
MORONA SANTIAGO;111.912;6.518;2.275;19;5.434;353;44;;;;;
NAPO;36.463;2.715;63;153;812;393;;;;;;
ORELLANA;44.226;5.698;15;58;1.501;536;;;;;;
PASTAZA;21.035;3.291;58;53;1.348;13;6;;;;;
SUCUMBÍOS;102.468;23.952;301;72;6.282;2.160;244;;;;;
ZAMORA CHINCHIPE;54.087;5.095;88;94;2.943;582;;;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;
