;;;;;;
TABLA 12.;;;;;;
SUPERFICIE, SEGÚN PRODUCCIÓN Y VENTAS DE AGUACATE (Fruta fresca);;;;;;
POR REGIÓN Y PROVINCIA;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;
;;;;;;
Región y Provincia;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;
;; Plantada ; Cosechada ;;;
TOTAL NACIONAL;; 7.125 ; 4.415 ; 26.408 ; 26.297 ;
REGIÓN SIERRA;; 7.078 ; 4.382 ; 26.308 ; 26.197 ;
REGIÓN COSTA;; 48 ; 33 ; 100 ; 100 ;
REGIÓN AMAZÓNICA;;;;;;
;;;;;;
REGIÓN SIERRA;;;;;;
AZUAY;Solo; 1 ; 0 ; 0 ; 0 ;
;Asociado;;;;;
BOLÍVAR;Solo; 25 ;;;;
;Asociado;;;;;
CAÑAR;Solo;;;;;
;Asociado;;;;;
CARCHI;Solo; 1.403 ; 803 ; 4.271 ; 4.262 ;
;Asociado; 709 ; 274 ; 1.650 ; 1.643 ;
COTOPAXI;Solo;;;;;
;Asociado;;;;;
CHIMBORAZO;Solo; 115 ; 62 ; 113 ; 113 ;
;Asociado; 58 ;;;;
IMBABURA;Solo; 1.577 ; 839 ; 2.568 ; 2.538 ;
;Asociado; 111 ; 60 ; 2 ; 2 ;
LOJA;Solo;;;;;
;Asociado;;;;;
PICHINCHA;Solo; 1.335 ; 866 ; 5.570 ; 5.567 ;
;Asociado; 468 ; 380 ; 3.479 ; 3.478 ;
TUNGURAHUA;Solo; 1.234 ; 1.073 ; 8.537 ; 8.527 ;
;Asociado; 42 ; 24 ; 116 ; 64 ;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;
;Asociado;;;;;
;;;;;;
REGIÓN COSTA;;;;;;
EL ORO;Solo; 31 ; 31 ; 66 ; 66 ;
;Asociado;;;;;
ESMERALDAS;Solo; 2 ; 2 ; 34 ; 34 ;
;Asociado;;;;;
GUAYAS;Solo; 1 ;;;;
;Asociado;;;;;
LOS RÍOS;Solo;;;;;
;Asociado;;;;;
MANABÍ;Solo;;;;;
;Asociado;;;;;
SANTA ELENA;Solo; 14 ;;;;
;Asociado;;;;;
;;;;;;
REGIÓN AMAZÓNICA;;;;;;
MORONA SANTIAGO;Solo;;;;;
;Asociado;;;;;
NAPO;Solo;;;;;
;Asociado;;;;;
ORELLANA;Solo;;;;;
;Asociado;;;;;
PASTAZA;Solo;;;;;
;Asociado;;;;;
SUCUMBÍOS;Solo;;;;;
;Asociado;;;;;
ZAMORA CHINCHIPE;Solo;;;;;
;Asociado;;;;;
;;;;;;
FUENTE: ESPAC - 2019;;;;;;
