;;;;;;;;;;
TABLA 13.1;;;;;;;;;;
SUPERFICIE, SEGÚN PRODUCCIÓN Y VENTAS DE LAS PRINCIPALES PROVINCIAS PRODUCTORAS DE BANANO DE EXPORTACIÓN EN MONOCULTIVO (Fruta Fresca);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Plantada;Cosechada;;;;;;;
TOTAL NACIONAL;;168.654;163.908;6.250.900;6.200.049;;;;;
REGIÓN SIERRA;;10.814;10.799;242.010;239.096;;;;;
REGIÓN COSTA;;157.840;153.108;6.008.889;5.960.954;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
CAÑAR;Solo;4.455;4.455;73.144;72.802;;;;;
COTOPAXI;Solo;6.360;6.345;168.866;166.294;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;45.549;45.036;1.641.824;1.620.356;;;;;
GUAYAS;Solo;49.183;47.100;1.998.540;1.992.841;;;;;
LOS RÍOS;Solo;63.108;60.972;2.368.526;2.347.757;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
TABLA 13.2.;;;;;;;;;;
SUPERFICIE, SEGÚN PRODUCCIÓN Y VENTAS DE LAS DEMÁS PROVINCIAS PRODUCTORAS DE BANANO (Fruta fresca);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Plantada;Cosechada;;;;;;;
TOTAL NACIONAL;;21.727;19.440;332.577;313.499;;;;;
REGIÓN SIERRA;;8.727;7.606;116.785;113.053;;;;;
REGIÓN COSTA;;11.874;10.842;211.550;199.373;;;;;
REGIÓN AMAZÓNICA;;1.126;992;4.242;1.073;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;181;179;2.137;975;;;;;
;Asociado;;;;;;;;;
BOLÍVAR;Solo;1.695;1.676;7.585;6.672;;;;;
;Asociado;415;389;3.871;3.820;;;;;
CARCHI;Solo;17;13;80;41;;;;;
;Asociado;11;8;21;21;;;;;
COTOPAXI;Asociado;141;135;1.183;1.183;;;;;
CHIMBORAZO;Solo;117;117;718;718;;;;;
;Asociado;;;;;;;;;
IMBABURA;Solo;1.906;1.509;23.904;23.087;;;;;
;Asociado;;;;;;;;;
LOJA;Solo;696;198;454;161;;;;;
;Asociado;398;286;6.427;6.088;;;;;
PICHINCHA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;3.149;3.095;70.406;70.288;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
ELORO;Asociado;251;251;7.255;7.202;;;;;
ESMERALDAS;Solo;1.959;1.658;49.458;49.044;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Asociado;788;760;5.036;5.036;;;;;
MANABÍ;Solo;3.749;3.267;26.142;17.918;;;;;
;Asociado;1.855;1.633;3.963;719;;;;;
SANTA ELENA;Solo;3.271;3.271;119.695;119.454;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;257;246;652;175;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;830;707;2.809;792;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;39;39;781;106;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
