;;;;;;;;;;
TABLA 15. ;;;;;;;;;;
SUPERFICIE, SEGÚN PRODUCCIÓN Y VENTAS DE CAFÉ (Grano oro);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Plantada;Cosechada;;;;;;;
TOTAL NACIONAL;;48.097;36.047;8.141;7.953;;;;;
REGIÓN SIERRA;;8.054;5.989;1.947;1.889;;;;;
REGIÓN COSTA;;17.900;12.781;2.882;2.780;;;;;
REGIÓN AMAZÓNICA;;22.143;17.277;3.312;3.285;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;25;24;8;8;;;;;
;Asociado;2;;;;;;;;
BOLÍVAR;Solo;923;895;376;376;;;;;
;Asociado;915;915;131;131;;;;;
CAÑAR;Solo;49;;;;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;116;36;22;17;;;;;
;Asociado;23;;;;;;;;
COTOPAXI;Solo;3;3;0;0;;;;;
;Asociado;612;612;189;189;;;;;
CHIMBORAZO;Solo;;;;;;;;;
;Asociado;1;1;0;0;;;;;
IMBABURA;Solo;114;67;33;24;;;;;
;Asociado;58;22;21;16;;;;;
LOJA;Solo;2.312;1.060;73;45;;;;;
;Asociado;412;176;16;15;;;;;
PICHINCHA;Solo;276;184;627;619;;;;;
;Asociado;703;703;18;18;;;;;
TUNGURAHUA;Solo;29;19;2;2;;;;;
;Asociado;5;5;0;0;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;1.106;897;333;333;;;;;
;Asociado;370;370;96;96;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;280;256;36;28;;;;;
;Asociado;122;122;6;3;;;;;
ESMERALDAS;Solo;235;32;1;1;;;;;
;Asociado;5;5;0;0;;;;;
GUAYAS;Solo;291;291;68;68;;;;;
;Asociado;20;20;1;1;;;;;
LOS RÍOS;Solo;1.058;1.049;871;871;;;;;
;Asociado;51;51;29;29;;;;;
MANABÍ;Solo;11.730;8.196;1.472;1.401;;;;;
;Asociado;3.923;2.638;348;326;;;;;
SANTA ELENA;Solo;185;123;51;51;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;88;47;7;5;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;507;448;64;64;;;;;
;Asociado;50;40;1;1;;;;;
ORELLANA;Solo;8.092;7.441;1.212;1.210;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;184;176;8;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;11.118;7.551;1.721;1.712;;;;;
;Asociado;1.952;1.422;282;279;;;;;
ZAMORA CHINCHIPE;Solo;152;151;17;15;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
