;;;;;;;;;;
TABLA 17.;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE CAÑA DE AZÚCAR PARA OTROS USOS (Tallo fresco);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Plantada;Cosechada;;;;;;;
TOTAL NACIONAL;;17.870;15.525;831.170;424.958;;;;;
REGIÓN SIERRA;;11.111;9.241;342.455;41.433;;;;;
REGIÓN COSTA;;2.778;2.778;448.891;362.050;;;;;
REGIÓN AMAZÓNICA;;3.980;3.506;39.823;21.475;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;964;512;16.730;3.010;;;;;
;Asociado;;;;;;;;;
BOLÍVAR;Solo;2.693;2.523;262.263;17;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;149;30;4.844;4.844;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;158;135;4.280;0;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;3.223;3.222;14.973;6.625;;;;;
;Asociado;;;;;;;;;
CHIMBORAZO;Solo;484;484;6.116;6.116;;;;;
;Asociado;;;;;;;;;
IMBABURA;Solo;451;346;19.047;17.081;;;;;
;Asociado;;;;;;;;;
LOJA;Solo;825;781;4.249;2.190;;;;;
;Asociado;;;;;;;;;
PICHINCHA;Solo;2.089;1.134;8.428;24;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;75;75;1.526;1.526;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;1.145;1.145;42.475;9.686;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo;536;535;37.960;1.482;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;1;1;20;0;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;17;17;10;;;;;;
;Asociado;;;;;;;;;
MANABÍ;Solo;908;908;367.931;350.881;;;;;
;Asociado;;;;;;;;;
SANTA ELENA;Solo;172;172;496;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;258;203;619;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;1.243;1.174;18.845;15.575;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;1.093;745;10.474;5.895;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;1.386;1.384;9.886;5;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
