;;;;;;;;;;;;;;
TABLA 1.;;;;;;;;;;;;;;
USO DEL SUELO, SEGÚN CATEGORÍAS;;;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;;;
(Hectáreas);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia; USO DEL SUELO (Has.) ;;;;;;;;;;ÍNDICE;;;
; Total ; Cultivos Permanentes ; Cultivos Transitorios y Barbecho ; Descanso ; Pastos Cultivados ; Pastos Naturales ; Páramos ; Montes y Bosques ; Otros Usos ;;;;;
TOTAL NACIONAL; 12.304.226 ; 1.439.504 ; 769.708 ; 219.492 ; 1.985.494 ; 915.843 ; 270.986 ; 6.040.896 ; 662.305 ;;;;;
REGIÓN SIERRA; 3.765.417 ; 251.332 ; 226.048 ; 72.982 ; 542.866 ; 601.249 ; 244.890 ; 1.634.788 ; 191.260 ;;;;;
REGIÓN COSTA; 4.820.460 ; 1.045.478 ; 519.967 ; 135.041 ; 1.101.785 ; 216.770 ; 6.507 ; 1.484.109 ; 310.804 ;;;;;
REGIÓN AMAZÓNICA; 3.718.349 ; 142.693 ; 23.692 ; 11.468 ; 340.843 ; 97.824 ; 19.589 ; 2.921.999 ; 160.240 ;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY; 533.732 ; 6.092 ; 12.239 ; 2.802 ; 37.001 ; 128.364 ; 7.487 ; 301.516 ; 38.231 ;;;;;
BOLÍVAR; 279.567 ; 32.940 ; 26.878 ; 3.018 ; 87.672 ; 33.512 ;; 86.868 ; 8.679 ;;;;;
CAÑAR; 248.984 ; 30.082 ; 6.574 ; 634 ; 27.837 ; 61.700 ; 32.980 ; 79.878 ; 9.299 ;;;;;
CARCHI; 191.674 ; 6.367 ; 21.609 ; 3.105 ; 22.741 ; 27.290 ; 1.103 ; 101.889 ; 7.571 ;;;;;
COTOPAXI; 398.524 ; 23.019 ; 29.800 ; 15.160 ; 79.865 ; 46.547 ; 32.871 ; 150.802 ; 20.460 ;;;;;
CHIMBORAZO; 373.316 ; 3.747 ; 41.408 ; 24.082 ; 38.811 ; 66.022 ; 87.994 ; 87.773 ; 23.479 ;;;;;
IMBABURA; 287.008 ; 15.931 ; 15.982 ; 5.222 ; 22.054 ; 33.140 ; 18.899 ; 163.829 ; 11.951 ;;;;;
LOJA; 523.057 ; 8.679 ; 40.313 ; 3.486 ; 26.922 ; 113.880 ; 7.261 ; 306.418 ; 16.099 ;;;;;
PICHINCHA; 529.022 ; 32.523 ; 14.881 ; 7.857 ; 83.687 ; 56.821 ; 37.998 ; 262.490 ; 32.766 ;;;;;
TUNGURAHUA; 155.486 ; 6.721 ; 11.643 ; 4.854 ; 17.334 ; 29.084 ; 18.297 ; 54.950 ; 12.603 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 245.045 ; 85.231 ; 4.722 ; 2.762 ; 98.943 ; 4.888 ;; 38.377 ; 10.122 ;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO; 368.726 ; 56.645 ; 5.612 ; 2.061 ; 90.357 ; 58.331 ; 6.507 ; 117.989 ; 31.225 ;;;;;
ESMERALDAS; 1.046.074 ; 199.072 ; 1.416 ; 33.059 ; 209.866 ; 7.313 ;; 535.402 ; 59.946 ;;;;;
GUAYAS; 1.089.101 ; 316.165 ; 206.671 ; 33.583 ; 150.775 ; 29.008 ;; 253.114 ; 99.785 ;;;;;
LOS RÍOS; 636.837 ; 234.979 ; 190.244 ; 30.087 ; 44.155 ; 15.073 ;; 87.951 ; 34.348 ;;;;;
MANABÍ; 1.603.697 ; 233.780 ; 112.816 ; 30.862 ; 604.993 ; 104.248 ;; 437.822 ; 79.177 ;;;;;
SANTA ELENA; 76.025 ; 4.837 ; 3.209 ; 5.389 ; 1.638 ; 2.797 ;; 51.831 ; 6.324 ;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 811.427 ; 7.996 ; 3.133 ; 575 ; 81.875 ; 66.906 ; 984 ; 627.895 ; 22.063 ;;;;;
NAPO; 447.517 ; 12.272 ; 3.792 ; 56 ; 29.077 ; 6.495 ; 17.896 ; 362.720 ; 15.208 ;;;;;
ORELLANA; 606.307 ; 43.583 ; 4.960 ; 478 ; 25.162 ; 19.035 ;; 485.039 ; 28.050 ;;;;;
PASTAZA; 821.909 ; 5.297 ; 1.782 ; 189 ; 23.895 ; 363 ;; 771.891 ; 18.493 ;;;;;
SUCUMBÍOS; 772.054 ; 68.939 ; 9.393 ; 10.118 ; 101.462 ; 4.388 ; 709 ; 535.389 ; 41.656 ;;;;;
ZAMORA CHINCHIPE; 259.134 ; 4.606 ; 632 ; 52 ; 79.372 ; 637 ;; 139.064 ; 34.771 ;;;;;
;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;;;
Superficie con uso agropecuario: Comprende el área  ocupada por cultivos  permanentes, transitorios, pastos cultivados y naturales.;;;;;;;;;;;;;;
Para la selección de la muestra, se tomó la variable “superficie de suelo con uso agropecuario” como variable de diseño de la muestra, y se estratifica el marco de muestreo en función al porcentaje de superficie con uso agropecuario que tiene cada unidad mínima de estratificación del marco se excluye los cuerpos de agua, areas urbanas, áreas mayores a los 3000msnm, reservas naturales (selva) y sectores amanzanados.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
