;;;;;;;;;;
TABLA 21. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE NARANJA (Fruta fresca);;;;;;;;;;
POR REGIÓN Y PROVINCIA ;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Plantada;Cosechada;;;;;;;
TOTAL NACIONAL;;20.603;18.444;133.688;129.660;;;;;
REGIÓN SIERRA;;10.235;9.172;62.517;60.345;;;;;
REGIÓN COSTA;;8.625;8.112;52.645;51.437;;;;;
REGIÓN AMAZÓNICA;;1.743;1.159;18.527;17.878;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;;;;;;;;;
;Asociado;;;;;;;;;
BOLÍVAR;Solo;630;525;3.127;2.455;;;;;
;Asociado;6.327;5.644;46.686;45.835;;;;;
CAÑAR;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;17;17;122;122;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;48;;;;;;;;
;Asociado;2.005;1.909;7.279;7.275;;;;;
CHIMBORAZO;Solo;31;31;167;162;;;;;
;Asociado;338;280;1.034;1.015;;;;;
IMBABURA;Solo;33;0;;;;;;;
;Asociado;2;;;;;;;;
LOJA;Solo;43;7;36;36;;;;;
;Asociado;411;411;876;373;;;;;
PICHINCHA;Solo;64;64;497;380;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;4;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;88;88;1.046;1.046;;;;;
;Asociado;196;196;1.647;1.646;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;120;43;112;99;;;;;
;Asociado;121;103;308;299;;;;;
ESMERALDAS;Solo;150;148;635;71;;;;;
;Asociado;90;;;;;;;;
GUAYAS;Solo;51;51;130;127;;;;;
;Asociado;306;207;775;765;;;;;
LOS RÍOS;Solo;711;657;3.124;2.993;;;;;
;Asociado;4.710;4.710;36.129;35.933;;;;;
MANABÍ;Solo;970;923;5.987;5.851;;;;;
;Asociado;1.391;1.264;5.424;5.302;;;;;
SANTA ELENA;Solo;7;7;19;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;17;17;15;12;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;63;33;11;11;;;;;
;Asociado;709;709;15.332;14.745;;;;;
ORELLANA;Solo;167;167;312;253;;;;;
;Asociado;160;160;725;725;;;;;
PASTAZA;Solo;33;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;587;66;2.111;2.111;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;8;8;21;21;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
