;;;;;;;;;;
TABLA 23.;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE PALMA AFRICANA (Fruta fresca);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Plantada;Cosechada;;;;;;;
TOTAL NACIONAL;;246.574;200.908;2.275.948;2.275.580;;;;;
REGIÓN SIERRA;;32.805;31.113;256.206;256.206;;;;;
REGIÓN COSTA;;179.724;141.405;1.611.812;1.611.444;;;;;
REGIÓN AMAZÓNICA;;34.046;28.391;407.930;407.930;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;;;;;;;;;
;Asociado;;;;;;;;;
BOLÍVAR;Solo;1.031;1.031;23.464;23.464;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;;;;;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;734;724;11.568;11.568;;;;;
;Asociado;;;;;;;;;
CHIMBORAZO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
IMBABURA;Solo;1.913;1.166;11.331;11.331;;;;;
;Asociado;24;24;10;10;;;;;
LOJA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PICHINCHA;Solo;9.000;8.369;51.518;51.518;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;17.248;16.944;144.105;144.105;;;;;
;Asociado;2.855;2.855;14.211;14.211;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo;108.099;81.890;779.245;779.013;;;;;
;Asociado;1.301;461;4.170;4.170;;;;;
GUAYAS;Solo;11.926;10.112;163.157;163.021;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;40.676;37.180;579.695;579.695;;;;;
;Asociado;411;;;;;;;;
MANABÍ;Solo;13.431;7.882;59.632;59.632;;;;;
;Asociado;3.880;3.880;25.913;25.913;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;12.657;12.208;108.255;108.255;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;21.388;16.183;299.675;299.675;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
