;;;;;;;;;;
TABLA 24.;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE PALMITO (Tallo fresco);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Plantada;Cosechada;;;;;;;
TOTAL NACIONAL;;5.243;5.243;35.010;35.010;;;;;
REGIÓN SIERRA;;3.812;3.812;25.475;25.475;;;;;
REGIÓN COSTA;;1.431;1.431;9.535;9.535;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;;;;;;;;;
;Asociado;;;;;;;;;
BOLÍVAR;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;;;;;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CHIMBORAZO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
IMBABURA;Solo;99;99;636;636;;;;;
;Asociado;;;;;;;;;
LOJA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PICHINCHA;Solo;2.618;2.618;14.397;14.397;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;1.095;1.095;10.442;10.442;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo;1.366;1.366;8.944;8.944;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;65;65;591;591;;;;;
;Asociado;;;;;;;;;
MANABÍ;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
