;;;;;;;;;;;
TABLA 2.;;;;;;;;;;;
SUPERFICIE, SEGÚN PRODUCCIÓN Y VENTAS ;;;;;;;;;;;
POR CULTIVOS PERMANENTES ;;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS PERMANENTES;; SUPERFICIE (Has.) ;;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;;ÍNDICE;;;
;; Plantada ; Edad Productiva ; Cosechada ;;;;;;;
TOTAL NACIONAL;Solo; 1.378.032 ; 1.257.866 ; 1.188.937 ;;;;;;;
;Asociado; 165.301 ; 149.279 ; 140.871 ;;;;;;;
;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo; 5.738 ; 4.143 ; 3.677 ; 21.160 ; 21.109 ;;;;;
;Asociado; 1.388 ; 865 ; 739 ; 5.248 ; 5.188 ;;;;;
BANANO (FRUTA FRESCA);Solo; 186.522 ; 180.835 ; 179.883 ; 6.555.720 ; 6.489.480 ;;;;;
;Asociado; 3.860 ; 3.826 ; 3.464 ; 27.756 ; 24.069 ;;;;;
CACAO (ALMENDRA SECA);Solo; 535.444 ; 492.249 ; 467.442 ; 258.110 ; 251.452 ;;;;;
;Asociado; 66.511 ; 61.056 ; 57.993 ; 25.569 ; 24.346 ;;;;;
CAFÉ (GRANO ORO);Solo; 38.873 ; 31.415 ; 28.945 ; 7.004 ; 6.850 ;;;;;
;Asociado; 9.224 ; 8.807 ; 7.102 ; 1.137 ; 1.103 ;;;;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo; 126.246 ; 122.189 ; 121.812 ; 9.257.700 ; 5.947.370 ;;;;;
;Asociado;;;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo; 17.870 ; 16.020 ; 15.525 ; 831.170 ; 424.958 ;;;;;
;Asociado;;;;;;;;;;
LIMÓN (FRUTA FRESCA);Solo; 4.055 ; 3.440 ; 3.119 ; 13.084 ; 12.279 ;;;;;
;Asociado; 2.816 ; 1.721 ; 1.602 ; 6.588 ; 5.893 ;;;;;
MANGO (FRUTA FRESCA);Solo; 18.369 ; 17.083 ; 15.818 ; 104.896 ; 102.947 ;;;;;
;Asociado; 450 ; 167 ; 163 ; 689 ; 634 ;;;;;
MARACUYÁ (FRUTA FRESCA);Solo; 6.710 ; 4.570 ; 4.000 ; 26.759 ; 26.697 ;;;;;
;Asociado; 750 ; 513 ; 340 ; 1.969 ; 1.969 ;;;;;
NARANJA (FRUTA FRESCA);Solo; 3.835 ; 2.998 ; 2.852 ; 17.473 ; 15.749 ;;;;;
;Asociado; 16.768 ; 16.060 ; 15.591 ; 116.215 ; 113.911 ;;;;;
ORITO (FRUTA FRESCA);Solo; 5.253 ; 5.013 ; 4.928 ; 24.481 ; 22.219 ;;;;;
;Asociado; 608 ; 538 ; 528 ; 2.113 ; 1.603 ;;;;;
PALMA AFRICANA (FRUTA FRESCA);Solo; 238.103 ; 219.206 ; 193.689 ; 2.231.645 ; 2.231.277 ;;;;;
;Asociado; 8.470 ; 7.804 ; 7.220 ; 44.304 ; 44.304 ;;;;;
PALMITO (TALLO FRESCO);Solo; 5.243 ; 5.243 ; 5.243 ; 35.010 ; 35.010 ;;;;;
;Asociado;;;;;;;;;;
PIÑA (FRUTA FRESCA);Solo; 5.017 ; 4.313 ; 4.008 ; 46.264 ; 45.118 ;;;;;
;Asociado; 42 ; 42 ; 39 ; 84 ;;;;;;
PLÁTANO (FRUTA FRESCA);Solo; 115.069 ; 101.370 ; 97.156 ; 582.706 ; 524.297 ;;;;;
;Asociado; 45.194 ; 40.091 ; 38.657 ; 166.745 ; 150.749 ;;;;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo; 2.585 ; 1.642 ; 1.519 ; 23.369 ; 22.962 ;;;;;
;Asociado; 289 ; 177 ; 166 ; 948 ; 942 ;;;;;
OTROS PERMANENTES;Solo; 63.102 ; 46.136 ; 39.323 ; 137.772 ; 134.254 ;;;;;
;Asociado; 8.933 ; 7.612 ; 7.267 ; 27.458 ; 24.574 ;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;
