;;;;;;;;;;
TABLA 30.;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE ARVEJA TIERNA (En vaina);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;3.870;3.679;11.301;10.736;;;;;
REGIÓN SIERRA;;3.861;3.669;11.258;10.736;;;;;
REGIÓN COSTA;;10;10;43;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;105;98;187;117;;;;;
;Asociado;67;67;67;40;;;;;
BOLÍVAR;Solo;7;3;3;;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;24;24;18;15;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;2.136;2.079;8.604;8.456;;;;;
;Asociado;13;13;15;15;;;;;
COTOPAXI;Solo;224;196;369;336;;;;;
;Asociado;76;76;52;51;;;;;
CHIMBORAZO;Solo;412;367;577;493;;;;;
;Asociado;143;143;89;61;;;;;
IMBABURA;Solo;386;375;803;739;;;;;
;Asociado;40;40;43;18;;;;;
LOJA;Solo;11;11;4;;;;;;
;Asociado;5;5;0;;;;;;
PICHINCHA;Solo;39;39;48;23;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;170;132;373;367;;;;;
;Asociado;3;3;8;7;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;10;10;43;;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
MANABÍ;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
