;;;;;;;;;;
TABLA 33. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE CEBOLLA BLANCA (Tallo fresco);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;7.591;7.544;42.455;41.860;;;;;
REGIÓN SIERRA;;7.370;7.323;42.354;41.759;;;;;
REGIÓN COSTA;;221;221;100;100;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;;;;;;;;;
;Asociado;;;;;;;;;
BOLÍVAR;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;194;194;829;828;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;1.323;1.302;3.649;3.643;;;;;
;Asociado;;;;;;;;;
CHIMBORAZO;Solo;3.026;3.026;30.679;30.129;;;;;
;Asociado;;;;;;;;;
IMBABURA;Solo;4;4;5;;;;;;
;Asociado;;;;;;;;;
LOJA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PICHINCHA;Solo;1.600;1.590;4.385;4.373;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;1.223;1.208;2.807;2.785;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;221;221;100;100;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
MANABÍ;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
