;;;;;;;;;;
TABLA 34. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE FRÉJOL SECO (Grano seco);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;25.253;24.006;14.743;10.379;;;;;
REGIÓN SIERRA;;22.440;21.266;12.946;8.680;;;;;
REGIÓN COSTA;;2.813;2.740;1.798;1.699;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;117;117;41;22;;;;;
;Asociado;4.587;4.268;2.035;369;;;;;
BOLÍVAR;Solo;3.287;3.225;2.665;2.267;;;;;
;Asociado;1.068;1.068;601;435;;;;;
CAÑAR;Solo;88;69;22;9;;;;;
;Asociado;747;739;313;102;;;;;
CARCHI;Solo;1.868;1.524;1.347;1.290;;;;;
;Asociado;54;54;71;71;;;;;
COTOPAXI;Solo;1.210;1.165;1.091;936;;;;;
;Asociado;665;665;509;436;;;;;
CHIMBORAZO;Solo;5.209;5.184;2.328;1.668;;;;;
;Asociado;120;103;47;44;;;;;
IMBABURA;Solo;979;863;642;557;;;;;
;Asociado;669;563;429;185;;;;;
LOJA;Solo;138;138;85;64;;;;;
;Asociado;1.217;1.108;601;165;;;;;
PICHINCHA;Solo;124;124;45;45;;;;;
;Asociado;282;279;72;16;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;11;11;0;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;;;;;;;;;
;Asociado;101;100;29;;;;;;
ESMERALDAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;30;28;10;0;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;70;;;;;;;;
;Asociado;957;957;624;623;;;;;
MANABÍ;Solo;326;326;81;37;;;;;
;Asociado;1.330;1.330;1.054;1.038;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
