;;;;;;;;;;
TABLA 35. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE FRÉJOL TIERNO (En vaina);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;7.564;7.018;12.748;10.845;;;;;
REGIÓN SIERRA;;4.341;4.113;6.959;5.754;;;;;
REGIÓN COSTA;;3.192;2.873;5.741;5.075;;;;;
REGIÓN AMAZÓNICA;;31;31;48;16;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;15;15;11;11;;;;;
;Asociado;606;588;359;110;;;;;
BOLÍVAR;Solo;135;125;175;170;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;31;26;118;93;;;;;
;Asociado;161;161;86;46;;;;;
CARCHI;Solo;233;233;1.232;1.230;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;87;87;170;158;;;;;
;Asociado;121;121;119;46;;;;;
CHIMBORAZO;Solo;689;650;1.213;1.206;;;;;
;Asociado;15;15;13;13;;;;;
IMBABURA;Solo;643;524;1.808;1.728;;;;;
;Asociado;827;802;487;53;;;;;
LOJA;Solo;138;134;229;225;;;;;
;Asociado;199;199;216;37;;;;;
PICHINCHA;Solo;196;188;204;192;;;;;
;Asociado;125;125;102;51;;;;;
TUNGURAHUA;Solo;60;60;237;215;;;;;
;Asociado;60;60;180;170;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;7;7;3;3;;;;;
;Asociado;55;55;189;126;;;;;
ESMERALDAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;1.119;856;1.285;1.239;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;200;200;1.089;1.037;;;;;
;Asociado;725;668;1.844;1.844;;;;;
MANABÍ;Solo;470;470;746;245;;;;;
;Asociado;617;617;585;582;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;31;31;48;16;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
