;;;;;;;;;;
TABLA 36. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE HABA SECA (Grano seco);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;2.471;2.425;1.661;799;;;;;
REGIÓN SIERRA;;2.428;2.382;1.610;799;;;;;
REGIÓN COSTA;;43;43;51;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;;;;;;;;;
;Asociado;979;967;320;;;;;;
BOLÍVAR;Solo;71;69;46;25;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;39;27;58;55;;;;;
;Asociado;134;134;95;47;;;;;
CARCHI;Solo;51;43;142;91;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;214;208;326;284;;;;;
;Asociado;10;7;7;;;;;;
CHIMBORAZO;Solo;329;327;191;102;;;;;
;Asociado;37;37;1;;;;;;
IMBABURA;Solo;;;;;;;;;
;Asociado;86;86;46;;;;;;
LOJA;Solo;3;3;0;;;;;;
;Asociado;152;152;142;42;;;;;
PICHINCHA;Solo;202;202;160;130;;;;;
;Asociado;93;93;51;3;;;;;
TUNGURAHUA;Solo;7;7;5;;;;;;
;Asociado;20;20;20;20;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;10;10;30;;;;;;
;Asociado;16;16;14;;;;;;
ESMERALDAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;17;17;7;;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
MANABÍ;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
