;;;;;;;;;;
TABLA 37. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE HABA TIERNA (En vaina);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;7.403;7.029;23.422;21.777;;;;;
REGIÓN SIERRA;;5.944;5.583;21.487;19.863;;;;;
REGIÓN COSTA;;1.459;1.447;1.935;1.914;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;5;5;6;2;;;;;
;Asociado;241;236;129;80;;;;;
BOLÍVAR;Solo;33;14;13;;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;;;;;;;;;
;Asociado;62;62;26;;;;;;
CARCHI;Solo;1.966;1.833;9.074;9.034;;;;;
;Asociado;0;0;0;0;;;;;
COTOPAXI;Solo;656;610;1.934;1.680;;;;;
;Asociado;146;140;126;19;;;;;
CHIMBORAZO;Solo;1.175;1.130;4.094;3.824;;;;;
;Asociado;71;71;53;25;;;;;
IMBABURA;Solo;157;157;198;178;;;;;
;Asociado;123;107;260;134;;;;;
LOJA;Solo;;;;;;;;;
;Asociado;50;19;3;;;;;;
PICHINCHA;Solo;317;285;950;697;;;;;
;Asociado;74;74;33;;;;;;
TUNGURAHUA;Solo;864;834;4.585;4.190;;;;;
;Asociado;5;4;3;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;20;20;137;137;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;36;36;10;7;;;;;
;Asociado;;;;;;;;;
MANABÍ;Solo;1.366;1.353;1.735;1.734;;;;;
;Asociado;38;38;53;36;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
