;;;;;;;;;;
TABLA 39. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE MAÍZ DURO SECO (Grano seco);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;334.767;322.846;1.479.770;1.427.929;;;;;
REGIÓN SIERRA;;33.127;30.896;134.113;110.031;;;;;
REGIÓN COSTA;;287.991;278.648;1.322.998;1.299.657;;;;;
REGIÓN AMAZÓNICA;;13.649;13.303;22.659;18.241;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;947;928;951;345;;;;;
;Asociado;117;117;114;28;;;;;
BOLÍVAR;Solo;404;404;602;432;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;587;573;977;787;;;;;
;Asociado;47;39;43;25;;;;;
CARCHI;Solo;409;288;769;680;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;396;396;2.074;2.062;;;;;
;Asociado;;;;;;;;;
CHIMBORAZO;Solo;444;394;1.106;1.029;;;;;
;Asociado;0;0;0;;;;;;
IMBABURA;Solo;748;748;1.602;1.093;;;;;
;Asociado;92;78;57;;;;;;
LOJA;Solo;26.732;24.864;119.539;102.793;;;;;
;Asociado;1.707;1.609;5.694;445;;;;;
PICHINCHA;Solo;287;282;267;227;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;18;18;26;;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;192;158;292;85;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;674;639;1.867;1.573;;;;;
;Asociado;19;19;37;33;;;;;
ESMERALDAS;Solo;564;473;456;406;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;55.268;51.802;241.709;237.995;;;;;
;Asociado;31;31;69;49;;;;;
LOS RÍOS;Solo;127.089;126.581;641.185;636.521;;;;;
;Asociado;2.012;1.986;7.169;7.118;;;;;
MANABÍ;Solo;96.451;91.234;404.631;390.551;;;;;
;Asociado;2.645;2.645;10.614;10.190;;;;;
SANTA ELENA;Solo;3.238;3.238;15.261;15.221;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;1.281;1.281;970;130;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;3.008;2.914;3.401;3.061;;;;;
;Asociado;37;37;30;25;;;;;
ORELLANA;Solo;3.464;3.446;5.882;4.457;;;;;
;Asociado;589;589;1.607;1.607;;;;;
PASTAZA;Solo;59;59;141;127;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;5.084;4.849;10.484;8.835;;;;;
;Asociado;41;41;52;;;;;;
ZAMORA CHINCHIPE;Solo;87;87;92;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
