;;;;;;;;;;
TABLA 40. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE MAÍZ SUAVE CHOCLO (En choclo);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;19.234;18.439;74.324;65.944;;;;;
REGIÓN SIERRA;;19.227;18.432;74.317;65.944;;;;;
REGIÓN COSTA;;6;6;7;;;;;;
REGIÓN AMAZÓNICA;;1;1;0;;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;547;527;873;154;;;;;
;Asociado;419;405;454;135;;;;;
BOLÍVAR;Solo;3.244;3.146;14.788;13.988;;;;;
;Asociado;292;292;724;724;;;;;
CAÑAR;Solo;2;2;3;;;;;;
;Asociado;24;24;74;67;;;;;
CARCHI;Solo;349;343;1.782;1.674;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;2.803;2.658;7.912;6.844;;;;;
;Asociado;108;108;195;101;;;;;
CHIMBORAZO;Solo;2.424;2.336;10.220;9.375;;;;;
;Asociado;189;171;286;211;;;;;
IMBABURA;Solo;1.135;1.000;2.888;1.817;;;;;
;Asociado;309;278;408;42;;;;;
LOJA;Solo;1.400;1.366;5.747;5.446;;;;;
;Asociado;145;114;496;;;;;;
PICHINCHA;Solo;1.972;1.950;6.370;5.150;;;;;
;Asociado;289;286;389;120;;;;;
TUNGURAHUA;Solo;3.507;3.362;20.452;19.872;;;;;
;Asociado;68;64;253;223;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;6;6;7;;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
MANABÍ;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;1;1;0;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
