;;;;;;;;;;
TABLA 41. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE MAÍZ SUAVE SECO (Grano seco);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;48.386;44.820;61.275;42.234;;;;;
REGIÓN SIERRA;;47.608;44.117;59.892;41.238;;;;;
REGIÓN COSTA;;470;404;928;831;;;;;
REGIÓN AMAZÓNICA;;307;299;455;164;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;2.651;2.549;2.229;757;;;;;
;Asociado;4.841;4.538;4.430;890;;;;;
BOLÍVAR;Solo;14.931;14.345;29.049;26.503;;;;;
;Asociado;794;794;1.359;989;;;;;
CAÑAR;Solo;1.466;1.411;1.423;636;;;;;
;Asociado;1.248;1.233;715;245;;;;;
CARCHI;Solo;319;280;428;295;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;6.679;6.136;7.012;4.461;;;;;
;Asociado;874;868;673;320;;;;;
CHIMBORAZO;Solo;5.117;3.751;3.840;2.018;;;;;
;Asociado;22;22;10;0;;;;;
IMBABURA;Solo;2.973;2.791;2.928;1.872;;;;;
;Asociado;1.199;1.156;1.036;243;;;;;
LOJA;Solo;1.275;1.201;998;309;;;;;
;Asociado;665;665;982;189;;;;;
PICHINCHA;Solo;2.319;2.150;2.538;1.413;;;;;
;Asociado;173;171;164;85;;;;;
TUNGURAHUA;Solo;58;51;76;13;;;;;
;Asociado;2;2;1;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;80;76;44;;;;;;
;Asociado;104;103;41;;;;;;
ESMERALDAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;;;;;;;;;
;Asociado;;;;;;;;;
MANABÍ;Solo;286;225;843;831;;;;;
;Asociado;;;;;;;;;
SANTA ELENA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;267;267;394;115;;;;;
;Asociado;;;;;;;;;
NAPO;Solo;;;;;;;;;
;Asociado;;;;;;;;;
ORELLANA;Solo;18;14;33;29;;;;;
;Asociado;;;;;;;;;
PASTAZA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SUCUMBÍOS;Solo;23;18;29;21;;;;;
;Asociado;;;;;;;;;
ZAMORA CHINCHIPE;Solo;;;;;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
