;;;;;;;;;;
TABLA 49. ;;;;;;;;;;
SUPERFICIE SEGÚN PRODUCCIÓN Y VENTAS DE YUCA (Raíz fresca);;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;;SUPERFICIE (Has.);;PRODUCCIÓN (Tm.);VENTAS (Tm.);;ÍNDICE;;;
;;Sembrada;Cosechada;;;;;;;
TOTAL NACIONAL;;14.823;13.601;69.863;51.567;;;;;
REGIÓN SIERRA;;3.577;3.530;19.459;16.488;;;;;
REGIÓN COSTA;;4.803;4.109;24.440;20.511;;;;;
REGIÓN AMAZÓNICA;;6.442;5.963;25.964;14.568;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;Solo;64;64;220;132;;;;;
;Asociado;18;18;40;31;;;;;
BOLÍVAR;Solo;;;;;;;;;
;Asociado;;;;;;;;;
CAÑAR;Solo;21;15;233;;;;;;
;Asociado;;;;;;;;;
CARCHI;Solo;;;;;;;;;
;Asociado;;;;;;;;;
COTOPAXI;Solo;439;433;1.742;1.247;;;;;
;Asociado;20;20;37;25;;;;;
CHIMBORAZO;Solo;109;108;552;533;;;;;
;Asociado;;;;;;;;;
IMBABURA;Solo;358;358;2.734;2.188;;;;;
;Asociado;;;;;;;;;
LOJA;Solo;535;527;2.351;1.890;;;;;
;Asociado;45;18;24;;;;;;
PICHINCHA;Solo;93;93;232;105;;;;;
;Asociado;;;;;;;;;
TUNGURAHUA;Solo;;;;;;;;;
;Asociado;;;;;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;Solo;1.875;1.875;11.293;10.338;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;Solo;5;2;4;;;;;;
;Asociado;;;;;;;;;
ESMERALDAS;Solo;23;23;38;38;;;;;
;Asociado;;;;;;;;;
GUAYAS;Solo;226;226;512;389;;;;;
;Asociado;;;;;;;;;
LOS RÍOS;Solo;1.442;1.335;14.760;14.452;;;;;
;Asociado;;;;;;;;;
MANABÍ;Solo;2.888;2.303;7.357;4.366;;;;;
;Asociado;206;206;1.696;1.192;;;;;
SANTA ELENA;Solo;13;13;74;74;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;Solo;1.226;1.172;3.469;1.576;;;;;
;Asociado;237;237;395;341;;;;;
NAPO;Solo;964;942;2.255;2.073;;;;;
;Asociado;85;84;115;37;;;;;
ORELLANA;Solo;1.271;1.062;11.734;7.467;;;;;
;Asociado;83;83;101;;;;;;
PASTAZA;Solo;874;863;2.271;162;;;;;
;Asociado;81;81;29;;;;;;
SUCUMBÍOS;Solo;614;614;2.989;562;;;;;
;Asociado;7;7;10;;;;;;
ZAMORA CHINCHIPE;Solo;1.002;818;2.596;2.349;;;;;
;Asociado;;;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
