;;;;;;;;;;;
TABLA 4.;;;;;;;;;;;
SUPERFICIE PERDIDA, SEGÚN DIFERENTES CAUSAS;;;;;;;;;;;
POR CULTIVOS PERMANENTES;;;;;;;;;;;
(Hectáreas);;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PERDIDA (Has.);;;;;;;;ÍNDICE;
;;Total;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;;
TOTAL NACIONAL;Solo;68.929;2.343;1.262;19.835;24.487;1.265;19.737;;;
;Asociado;8.408;544;2.125;3.322;642;175;1.602;;;
;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo;466;272;;12;9;;173;;;
;Asociado;126;68;;;;;58;;;
BANANO (FRUTA FRESCA);Solo;952;27;92;290;158;122;262;;;
;Asociado;362;112;;87;;;162;;;
CACAO (ALMENDRA SECA);Solo;24.806;1.251;597;10.157;3.240;546;9.015;;;
;Asociado;3.063;52;785;1.560;121;20;525;;;
CAFÉ (GRANO ORO);Solo;2.470;84;211;172;238;9;1.757;;;
;Asociado;1.705;26;1.175;93;233;;179;;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo;377;;;125;;;252;;;
;Asociado;;;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo;496;;151;14;;;331;;;
;Asociado;;;;;;;;;;
LIMÓN (FRUTA FRESCA);Solo;321;107;;10;23;66;115;;;
;Asociado;119;58;;62;;;;;;
MANGO (FRUTA FRESCA);Solo;1.265;;31;669;;60;506;;;
;Asociado;3;3;;;;;;;;
MARACUYÁ (FRUTA FRESCA);Solo;570;115;;355;;;100;;;
;Asociado;173;;;1;;;172;;;
NARANJA (FRUTA FRESCA);Solo;146;7;43;;26;;69;;;
;Asociado;469;;18;263;;;188;;;
ORITO (FRUTA FRESCA);Solo;86;;;2;84;;;;;
;Asociado;10;;;;10;;;;;
PALMA AFRICANA (FRUTA FRESCA);Solo;25.518;33;3;2.132;18.480;;4.870;;;
;Asociado;584;;;421;163;;;;;
PALMITO (TALLO FRESCO);Solo;;;;;;;;;;
;Asociado;;;;;;;;;;
PIÑA (FRUTA FRESCA);Solo;305;;;305;;;;;;
;Asociado;3;3;;;;;;;;
PLÁTANO (FRUTA FRESCA);Solo;4.214;318;99;2.622;264;462;449;;;
;Asociado;1.435;199;147;642;114;155;178;;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo;124;;1;16;69;;37;;;
;Asociado;11;;;;;;11;;;
OTROS PERMANENTES;Solo;6.813;128;34;2.957;1.896;;1.798;;;
;Asociado;345;23;;195;;;127;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;
