;;;;;;;;;;;;;;;
TABLA 50. ;;;;;;;;;;;;;;;
NÚMERO DE CABEZAS DE GANADO VACUNO EXISTENTES AL DÍA DE LA ENTREVISTA, SEGÚN SEXO Y EDAD;;;;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;;;;
(Unidades);;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;TOTAL NACIDOS (Machos y hembras);;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;;
TOTAL NACIONAL;4.306.244;1.324.659;511.254;498.380;315.025;2.981.585;553.592;733.426;1.694.566;779.485;;;;;
REGIÓN SIERRA;2.225.923;672.207;247.536;226.767;197.905;1.553.716;285.438;352.365;915.913;431.169;;;;;
REGIÓN COSTA;1.710.130;510.743;224.048;203.794;82.901;1.199.387;227.194;317.579;654.614;281.739;;;;;
REGIÓN AMAZÓNICA;370.190;141.709;39.670;67.820;34.219;228.481;40.960;63.483;124.039;66.577;;;;;
;;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;;
AZUAY;329.670;84.981;33.504;21.434;30.043;244.689;36.849;57.197;150.643;52.759;;;;;
BOLÍVAR;156.195;49.834;23.020;13.119;13.695;106.361;22.018;20.508;63.835;34.382;;;;;
CAÑAR;176.015;48.583;17.040;13.107;18.436;127.432;22.084;29.937;75.412;29.867;;;;;
CARCHI;100.120;21.781;10.773;7.345;3.664;78.338;14.877;17.864;45.597;23.317;;;;;
COTOPAXI;309.495;114.588;39.856;50.629;24.103;194.907;41.563;42.185;111.159;75.570;;;;;
CHIMBORAZO;315.498;104.128;37.810;27.989;38.329;211.370;38.386;44.027;128.956;47.166;;;;;
IMBABURA;92.492;33.123;9.463;12.862;10.798;59.369;11.916;12.116;35.337;12.112;;;;;
LOJA;138.125;41.664;16.625;11.607;13.432;96.461;17.931;22.720;55.810;31.522;;;;;
PICHINCHA;285.532;59.293;19.964;23.204;16.125;226.239;39.900;54.749;131.590;57.431;;;;;
TUNGURAHUA;163.983;66.567;22.630;22.797;21.140;97.416;21.351;18.600;57.465;38.382;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;158.798;47.664;16.851;22.673;8.140;111.134;18.563;32.462;60.109;28.660;;;;;
;;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;;
EL ORO;147.850;50.843;13.806;22.222;14.815;97.007;16.887;28.228;51.892;27.469;;;;;
ESMERALDAS;272.247;96.054;25.859;55.234;14.960;176.193;30.135;52.541;93.518;50.690;;;;;
GUAYAS;275.280;74.733;32.193;31.315;11.225;200.547;39.046;50.420;111.081;58.104;;;;;
LOS RÍOS;82.481;22.370;6.393;12.008;3.969;60.111;11.615;21.543;26.953;13.176;;;;;
MANABÍ;930.153;266.195;145.610;82.748;37.837;663.957;129.372;164.251;370.335;132.025;;;;;
SANTA ELENA;2.119;549;187;267;95;1.571;138;596;836;277;;;;;
;;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;;
MORONA SANTIAGO;111.912;36.072;12.069;11.711;12.292;75.840;11.766;19.726;44.348;18.014;;;;;
NAPO;36.463;12.507;4.205;6.066;2.236;23.955;4.316;8.230;11.409;7.752;;;;;
ORELLANA;44.226;24.377;4.726;16.281;3.370;19.848;3.248;7.594;9.005;6.087;;;;;
PASTAZA;21.035;9.266;1.907;2.181;5.177;11.769;1.750;3.125;6.895;3.901;;;;;
SUCUMBÍOS;102.468;39.430;10.565;22.946;5.918;63.038;13.043;15.283;34.712;18.675;;;;;
ZAMORA CHINCHIPE;54.087;20.056;6.197;8.635;5.225;34.031;6.836;9.526;17.670;12.147;;;;;
;;;;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;;;;
