;;;;;;;;;;;;;;
TABLA 51. ;;;;;;;;;;;;;;
NÚMERO DE CABEZAS DE GANADO VACUNO COMPRADAS, SEGÚN SEXO Y EDAD;;;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;;;
(Unidades);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL;198.226;133.866;40.608;58.664;34.594;64.360;16.312;24.021;24.027;;;;;
REGIÓN SIERRA;133.648;88.570;26.755;35.848;25.966;45.078;12.646;17.209;15.222;;;;;
REGIÓN COSTA;40.815;26.345;5.931;12.636;7.778;14.470;2.614;5.123;6.733;;;;;
REGIÓN AMAZÓNICA;23.763;18.951;7.922;10.179;850;4.812;1.051;1.689;2.072;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;8.642;3.036;1.161;458;1.417;5.606;860;2.913;1.832;;;;;
BOLÍVAR;2.705;1.726;502;877;347;979;227;427;324;;;;;
CAÑAR;3.675;1.373;522;536;315;2.302;929;810;563;;;;;
CARCHI;8.910;5.126;3.175;1.325;626;3.785;580;1.949;1.256;;;;;
COTOPAXI;45.316;34.334;5.999;9.295;19.041;10.982;2.646;2.901;5.435;;;;;
CHIMBORAZO;14.673;7.280;2.738;3.380;1.162;7.394;3.187;2.074;2.133;;;;;
IMBABURA;9.728;7.441;3.081;3.766;594;2.287;1.007;841;439;;;;;
LOJA;4.285;2.071;1.188;401;482;2.214;447;1.029;738;;;;;
PICHINCHA;14.008;10.081;3.920;6.005;156;3.928;926;1.738;1.264;;;;;
TUNGURAHUA;14.935;11.062;3.175;6.402;1.485;3.872;1.022;2.129;721;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;6.770;5.039;1.294;3.404;342;1.731;816;399;516;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;3.445;2.667;576;1.937;154;778;73;513;191;;;;;
ESMERALDAS;12.332;8.323;2.264;4.459;1.600;4.009;1.367;1.981;662;;;;;
GUAYAS;2.354;2.085;513;1.553;19;269;103;13;153;;;;;
LOS RÍOS;759;521;164;188;170;238;80;99;60;;;;;
MANABÍ;21.925;12.749;2.414;4.500;5.835;9.176;991;2.517;5.667;;;;;
SANTA ELENA;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;3.693;1.529;836;83;610;2.164;496;255;1.413;;;;;
NAPO;4.268;3.631;;3.631;;637;13;573;52;;;;;
ORELLANA;2.600;2.245;922;1.205;118;356;5;150;200;;;;;
PASTAZA;43;43;43;;;;;;;;;;;
SUCUMBÍOS;11.320;10.371;5.141;5.174;56;949;438;413;98;;;;;
ZAMORA CHINCHIPE;1.838;1.132;979;87;67;706;99;298;309;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;;;
