;;;;;;;;;;;;;;
TABLA 52. ;;;;;;;;;;;;;;
NÚMERO DE CABEZAS DE GANADO VACUNO PERDIDAS POR MUERTE, SEGÚN SEXO Y EDAD;;;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;;;
(Unidades);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia; TOTAL ; GANADO VACUNO ;;;;;;;;;ÍNDICE;;;
;; SUBTOTAL ; MACHOS ;;; SUBTOTAL ; HEMBRAS ;;;;;;;
;;; De menos de 1 año de edad (Terneros) ; De 1 año a menos de 2 años de edad (Toretes) ; De 2 o más años de edad (Toros)  ;; De menos de 1 año de edad (Terneras) ; De 1 año a menos de 2 años de edad (Vaconas) ; De 2 o más años de edad (Vacas) ;;;;;
TOTAL NACIONAL; 114.106 ; 41.371 ; 26.658 ; 9.306 ; 5.407 ; 72.735 ; 15.760 ; 13.981 ; 42.995 ;;;;;
REGIÓN SIERRA; 73.830 ; 26.187 ; 16.722 ; 5.561 ; 3.904 ; 47.643 ; 11.029 ; 8.875 ; 27.740 ;;;;;
REGIÓN COSTA; 28.301 ; 10.523 ; 7.390 ; 2.376 ; 757 ; 17.778 ; 2.978 ; 4.013 ; 10.787 ;;;;;
REGIÓN AMAZÓNICA; 11.975 ; 4.661 ; 2.546 ; 1.369 ; 747 ; 7.314 ; 1.753 ; 1.092 ; 4.468 ;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY; 6.829 ; 2.866 ; 1.833 ; 653 ; 381 ; 3.963 ; 999 ; 1.344 ; 1.620 ;;;;;
BOLÍVAR; 6.550 ; 1.693 ; 709 ; 645 ; 338 ; 4.857 ; 481 ; 712 ; 3.664 ;;;;;
CAÑAR; 4.770 ; 2.002 ; 938 ; 607 ; 457 ; 2.768 ; 364 ; 877 ; 1.526 ;;;;;
CARCHI; 3.745 ; 1.219 ; 897 ; 213 ; 109 ; 2.526 ; 585 ; 368 ; 1.574 ;;;;;
COTOPAXI; 9.965 ; 4.935 ; 3.645 ; 1.083 ; 207 ; 5.030 ; 964 ; 600 ; 3.466 ;;;;;
CHIMBORAZO; 8.636 ; 3.119 ; 2.204 ; 273 ; 642 ; 5.517 ; 1.444 ; 1.046 ; 3.028 ;;;;;
IMBABURA; 5.283 ; 2.368 ; 1.294 ; 436 ; 638 ; 2.915 ; 929 ; 571 ; 1.415 ;;;;;
LOJA; 5.932 ; 1.035 ; 210 ; 535 ; 290 ; 4.897 ; 752 ; 758 ; 3.386 ;;;;;
PICHINCHA; 12.925 ; 3.229 ; 2.079 ; 786 ; 364 ; 9.696 ; 3.405 ; 2.086 ; 4.205 ;;;;;
TUNGURAHUA; 4.633 ; 2.041 ; 1.537 ; 103 ; 401 ; 2.592 ; 526 ; 299 ; 1.768 ;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS; 4.562 ; 1.680 ; 1.375 ; 228 ; 78 ; 2.882 ; 580 ; 215 ; 2.087 ;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO; 2.772 ; 1.092 ; 581 ; 280 ; 231 ; 1.680 ; 262 ; 203 ; 1.214 ;;;;;
ESMERALDAS; 5.899 ; 2.893 ; 1.866 ; 630 ; 397 ; 3.006 ; 388 ; 1.030 ; 1.588 ;;;;;
GUAYAS; 5.650 ; 1.598 ; 1.075 ; 458 ; 65 ; 4.052 ; 516 ; 861 ; 2.675 ;;;;;
LOS RÍOS; 1.031 ; 503 ; 294 ; 191 ; 18 ; 528 ; 163 ; 126 ; 238 ;;;;;
MANABÍ; 12.933 ; 4.421 ; 3.559 ; 817 ; 44 ; 8.512 ; 1.648 ; 1.793 ; 5.071 ;;;;;
SANTA ELENA; 16 ; 16 ; 16 ;;;;;;;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO; 3.649 ; 1.355 ; 676 ; 484 ; 194 ; 2.295 ; 198 ; 292 ; 1.805 ;;;;;
NAPO; 947 ; 461 ; 275 ; 157 ; 30 ; 486 ; 144 ; 64 ; 278 ;;;;;
ORELLANA; 427 ; 159 ; 43 ; 58 ; 58 ; 268 ; 91 ; 80 ; 97 ;;;;;
PASTAZA; 228 ; 128 ; 2 ;; 127 ; 99 ; 2 ;; 98 ;;;;;
SUCUMBÍOS; 4.470 ; 1.630 ; 1.195 ; 398 ; 37 ; 2.840 ; 1.045 ; 328 ; 1.467 ;;;;;
ZAMORA CHINCHIPE; 2.254 ; 929 ; 355 ; 271 ; 302 ; 1.326 ; 274 ; 328 ; 724 ;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;;;
