;;;;;;;;;;;;;;
TABLA 55. ;;;;;;;;;;;;;;
NÚMERO DE CABEZAS DE GANADO VACUNO VENDIDAS, SEGÚN SEXO Y EDAD;;;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;;;
(Unidades);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;;ÍNDICE;;;
;;SUBTOTAL;MACHOS;;;SUBTOTAL;HEMBRAS;;;;;;;
;;;De menos de 1 año de edad (Terneros);De 1 año a menos de 2 años de edad (Toretes);De 2 o más años de edad (Toros) ;;De menos de 1 año de edad (Terneras);De 1 año a menos de 2 años de edad (Vaconas);De 2 o más años de edad (Vacas);;;;;
TOTAL NACIONAL;525.409;301.846;94.888;109.078;97.880;223.564;29.031;41.239;153.293;;;;;
REGIÓN SIERRA;273.452;169.493;63.143;35.572;70.778;103.959;18.782;17.620;67.557;;;;;
REGIÓN COSTA;213.555;107.029;26.555;63.237;17.237;106.526;9.041;20.989;76.495;;;;;
REGIÓN AMAZÓNICA;38.402;25.324;5.191;10.269;9.865;13.078;1.208;2.630;9.240;;;;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;29.810;15.305;6.569;3.305;5.430;14.505;694;2.891;10.919;;;;;
BOLÍVAR;16.097;6.483;1.365;3.003;2.114;9.615;873;2.736;6.005;;;;;
CAÑAR;14.683;9.531;4.438;2.103;2.990;5.152;1.210;876;3.066;;;;;
CARCHI;15.487;9.581;6.039;1.409;2.134;5.906;1.149;719;4.037;;;;;
COTOPAXI;57.526;40.923;10.035;4.846;26.042;16.602;4.175;2.042;10.386;;;;;
CHIMBORAZO;28.821;18.237;6.208;4.888;7.141;10.585;2.372;1.729;6.483;;;;;
IMBABURA;8.868;6.794;999;2.510;3.286;2.073;231;299;1.543;;;;;
LOJA;15.368;7.713;1.433;3.329;2.951;7.656;1.362;1.824;4.470;;;;;
PICHINCHA;35.398;23.011;12.784;2.316;7.911;12.387;807;1.980;9.600;;;;;
TUNGURAHUA;20.728;13.918;5.239;1.908;6.771;6.809;1.614;498;4.697;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;30.667;17.997;8.033;5.956;4.009;12.670;4.295;2.025;6.350;;;;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;18.419;10.645;327;4.184;6.135;7.774;95;723;6.956;;;;;
ESMERALDAS;36.102;23.641;3.833;15.142;4.667;12.460;555;3.185;8.721;;;;;
GUAYAS;30.956;15.796;3.357;11.028;1.410;15.161;1.625;4.684;8.852;;;;;
LOS RÍOS;8.902;5.817;544;4.268;1.005;3.085;439;785;1.860;;;;;
MANABÍ;118.943;50.987;18.469;28.498;4.021;67.955;6.327;11.538;50.091;;;;;
SANTA ELENA;234;143;26;117;;91;;75;16;;;;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;13.086;8.155;1.419;2.074;4.661;4.931;691;997;3.243;;;;;
NAPO;1.462;870;418;315;137;592;28;290;274;;;;;
ORELLANA;4.359;2.942;51;1.657;1.234;1.417;;71;1.345;;;;;
PASTAZA;1.326;661;223;62;375;666;235;;430;;;;;
SUCUMBÍOS;12.690;9.136;2.144;5.781;1.211;3.554;218;1.127;2.208;;;;;
ZAMORA CHINCHIPE;5.479;3.560;935;379;2.247;1.919;36;143;1.740;;;;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;;;
