;;;;;;;;;;;;;
TABLA  56. ;;;;;;;;;;;;;
NÚMERO DE CABEZAS DE GANADO VACUNO EXISTENTES AL DÍA DE LA ENTREVISTA, SEGÚN RAZA ;;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;;
(Unidades);;;;;;;;;;;;;
;;;;;;;;;;;;;
Región y Provincia;TOTAL;GANADO VACUNO;;;;;;;;ÍNDICE;;;
;;Brown Swiss;Brahman o cebú;Holstein Friesian;Jersey;Mestizos;Criollos;Otra raza;;;;;
TOTAL NACIONAL;4.306.244;373.504;734.075;512.157;152.164;1.282.088;1.042.343;209.911;;;;;
REGIÓN SIERRA;2.225.923;166.101;108.821;386.615;76.748;726.153;712.149;49.335;;;;;
REGIÓN COSTA;1.710.130;165.788;581.339;107.239;65.469;400.500;294.257;95.540;;;;;
REGIÓN AMAZÓNICA;370.190;41.615;43.915;18.303;9.948;155.435;35.938;65.037;;;;;
;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;
AZUAY;329.670;4.463;8.341;41.017;4.857;106.344;163.160;1.490;;;;;
BOLÍVAR;156.195;47.793;14.891;12.241;4.682;38.483;36.303;1.803;;;;;
CAÑAR;176.015;11.438;2.475;27.792;8.097;72.237;52.690;1.287;;;;;
CARCHI;100.120;2.006;1.601;34.801;5.965;32.009;21.694;2.044;;;;;
COTOPAXI;309.495;19.342;17.434;64.072;10.821;110.397;84.561;2.866;;;;;
CHIMBORAZO;315.498;27.976;1.017;30.205;9.165;93.539;146.516;7.081;;;;;
IMBABURA;92.492;2.139;3.331;12.778;4.572;35.768;28.958;4.946;;;;;
LOJA;138.125;20.386;16.468;22.623;504;30.908;46.627;609;;;;;
PICHINCHA;285.532;7.607;15.219;107.638;13.773;84.739;48.739;7.816;;;;;
TUNGURAHUA;163.983;5.909;327;16.169;4.009;70.414;64.440;2.716;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;158.798;17.043;27.717;17.280;10.304;51.314;18.462;16.678;;;;;
;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;
EL ORO;147.850;10.547;62.701;9.283;6.882;37.019;19.386;2.032;;;;;
ESMERALDAS;272.247;16.530;81.636;2.502;1.073;101.791;41.342;27.373;;;;;
GUAYAS;275.280;33.189;117.251;23.048;16.512;44.757;33.142;7.381;;;;;
LOS RÍOS;82.481;6.521;24.932;3.759;5.661;33.212;8.030;367;;;;;
MANABÍ;930.153;98.968;294.586;68.646;35.341;182.103;192.121;58.386;;;;;
SANTA ELENA;2.119;33;234;;;1.618;235;;;;;;
;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;
MORONA SANTIAGO;111.912;10.499;113;1.883;3.017;41.487;6.036;48.875;;;;;
NAPO;36.463;4.245;8.450;8.349;2.707;8.201;3.238;1.272;;;;;
ORELLANA;44.226;6.260;15.493;1.117;51;13.374;6.793;1.137;;;;;
PASTAZA;21.035;5.412;65;1.041;123;4.735;611;9.048;;;;;
SUCUMBÍOS;102.468;6.221;18.355;3.220;1.301;57.957;14.779;635;;;;;
ZAMORA CHINCHIPE;54.087;8.977;1.439;2.693;2.747;29.681;4.481;4.069;;;;;
;;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;;
