;;;;;;;;;;;
TABLA  59. ;;;;;;;;;;;
NÚMERO DE CABEZAS DE GANADO OVINO Y VENTAS, SEGÚN SEXO Y EDAD;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;
(Unidades);;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;GANADO OVINO;;;;;;;ÍNDICE;;;
;TOTAL;EXISTENCIA (Machos y Hembras)1;;TOTAL;VENTAS (Machos y Hembras)2;;;;;;
;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;Menores de 6 meses de edad;Mayores de 6 meses de edad;;;;;
TOTAL NACIONAL;464.644;95.978;368.666;38.781;13.736;25.045;;;;;
REGIÓN SIERRA;442.153;91.349;350.804;37.766;13.580;24.186;;;;;
REGIÓN COSTA;19.692;3.673;16.019;914;55;859;;;;;
REGIÓN AMAZÓNICA;2.799;956;1.843;101;101;;;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;48.337;10.104;38.233;3.022;1.314;1.707;;;;;
BOLÍVAR;19.579;3.914;15.665;1.614;608;1.006;;;;;
CAÑAR;16.167;3.664;12.503;780;532;249;;;;;
CARCHI;1.229;295;934;338;57;281;;;;;
COTOPAXI;126.821;29.205;97.617;16.133;5.050;11.082;;;;;
CHIMBORAZO;142.849;26.126;116.723;11.011;4.309;6.702;;;;;
IMBABURA;4.576;942;3.634;408;183;224;;;;;
LOJA;9.869;2.479;7.390;406;133;273;;;;;
PICHINCHA;26.493;5.359;21.135;1.934;935;1.000;;;;;
TUNGURAHUA;46.110;9.188;36.922;2.121;458;1.662;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;122;73;49;;;;;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;13.632;3.104;10.528;821;55;765;;;;;
ESMERALDAS;1.177;212;965;62;;62;;;;;
GUAYAS;3.739;258;3.481;30;;30;;;;;
LOS RÍOS;464;11;453;;;;;;;;
MANABÍ;680;87;593;2;;2;;;;;
SANTA ELENA;;;;;;;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;2.275;808;1.467;101;101;;;;;;
NAPO;63;;63;;;;;;;;
ORELLANA;15;6;9;;;;;;;;
PASTAZA;58;25;33;;;;;;;;
SUCUMBÍOS;301;73;228;;;;;;;;
ZAMORA CHINCHIPE;88;44;44;;;;;;;;
;;;;;;;;;;;
Notas:;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;
(1) Para existencia el periodo de referencia es el día de la entrevista;;;;;;;;;;;
(2) Para ventas  el período de referencia es del 1 de julio al 30 de septiembre 2019;;;;;;;;;;;
