;;;;;;;;;;;;;
TABLA 5. ;;;;;;;;;;;;;
SUPERFICIE PLANTADA, SEGÚN EDAD DE LA PLANTA, VARIEDAD DE LA PLANTA Y PRÁCTICA DE CULTIVO ;;;;;;;;;;;;;
POR CULTIVOS PERMANENTES;;;;;;;;;;;;;
(Hectáreas);;;;;;;;;;;;;
;;;;;;;;;;;;;
CULTIVOS PERMANENTES;;SUPERFICIE PLANTADA (Has.);;;;;;;;;;;ÍNDICE
;;EDAD DE LA PLANTACIÓN;;;TIPO SE SEMILLA UTILIZADA;;;;PRÁCTICA DE CULTIVO;;;;
;;Menos de 10 años;De 10 a menos de 20 años;De 20 años y más;Común;Mejorada;Híbrida Nacional;Híbrida Internacional;Riego;Aplicación de Fertilizantes;Aplicación de Fitosanitarios;;
TOTAL NACIONAL;Solo;691.873;332.300;353.859;729.748;562.963;69.740;15.581;514.316;795.929;766.143;;
;Asociado;83.158;34.024;48.119;101.207;56.709;7.381;6;23.619;61.851;65.240;;
;;;;;;;;;;;;;
AGUACATE (FRUTA FRESCA);Solo;3.391;1.261;1.086;2.481;3.247;9;;5.284;4.867;4.603;;
;Asociado;980;357;51;571;816;;;1.192;1.251;1.150;;
BANANO (FRUTA FRESCA);Solo;43.922;57.595;85.005;121.742;60.472;4.125;182;170.214;169.711;164.102;;
;Asociado;1.290;620;1.949;3.686;174;;;157;404;430;;
CACAO (ALMENDRA SECA);Solo;277.039;125.179;133.226;220.627;287.212;26.678;927;126.836;244.320;252.590;;
;Asociado;33.432;14.142;18.937;25.046;34.800;6.665;;8.164;26.399;27.941;;
CAFÉ (GRANO ORO);Solo;25.902;4.992;7.979;23.158;14.076;1.349;290;1.117;5.190;7.466;;
;Asociado;4.208;738;4.279;5.321;3.728;170;5;115;1.933;2.733;;
CAÑA DE AZÚCAR PARA AZÚCAR (TALLO FRESCO);Solo;101.613;9.993;14.640;69.616;55.194;1.341;95;122.278;124.109;110.427;;
;Asociado;;;;;;;;;;;;
CAÑA DE AZÚCAR PARA OTROS USOS (TALLO FRESCO);Solo;8.817;4.227;4.825;15.671;2.199;;0;2.760;3.415;4.195;;
;Asociado;;;;;;;;;;;;
LIMÓN (FRUTA FRESCA);Solo;3.629;343;83;3.256;749;50;;3.076;2.786;1.809;;
;Asociado;1.996;785;35;2.000;816;;;1.370;1.882;1.437;;
MANGO (FRUTA FRESCA);Solo;2.916;4.984;10.469;14.956;2.968;445;;6.881;12.403;9.560;;
;Asociado;352;98;;166;284;;;180;421;321;;
MARACUYÁ (FRUTA FRESCA);Solo;6.580;130;;4.583;2.113;13;;1.935;4.863;3.394;;
;Asociado;750;;;743;6;;;185;520;564;;
NARANJA (FRUTA FRESCA);Solo;1.769;713;1.353;2.494;1.341;;;485;590;1.817;;
;Asociado;5.827;6.468;4.473;10.728;5.693;347;;2.913;5.008;5.122;;
ORITO (FRUTA FRESCA);Solo;2.952;635;1.666;5.031;222;;;1.313;2.996;2.892;;
;Asociado;158;144;306;559;49;;;;235;235;;
PALMA AFRICANA (FRUTA FRESCA);Solo;97.525;88.533;52.046;101.567;88.525;34.229;13.782;33.080;128.914;110.858;;
;Asociado;1.282;1.228;5.960;6.119;2.172;179;;;860;2.181;;
PALMITO (TALLO FRESCO);Solo;2.255;2.045;943;2.312;2.327;604;;;3.987;2.250;;
;Asociado;;;;;;;;;;;;
PIÑA (FRUTA FRESCA);Solo;4.781;236;;3.288;1.540;27;162;1.698;4.130;3.901;;
;Asociado;42;;;16;26;;;;42;;;
PLÁTANO (FRUTA FRESCA);Solo;71.145;20.029;23.895;89.571;25.288;199;11;18.936;56.343;57.571;;
;Asociado;28.789;7.067;9.338;39.863;5.331;;;6.648;19.631;20.257;;
TOMATE DE ÁRBOL (FRUTA FRESCA);Solo;2.576;9;;1.136;1.443;5;;1.791;2.272;2.281;;
;Asociado;289;;;95;193;;0;228;242;163;;
OTROS PERMANENTES;Solo;35.060;11.399;16.643;48.259;14.047;665;131;16.632;25.032;26.428;;
;Asociado;3.766;2.377;2.791;6.294;2.620;19;;2.466;3.023;2.705;;
;;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;;
