;;;;;;;;;;
TABLA  61.;;;;;;;;;;
NÚMERO DE AVES CRIADAS EN CAMPO , SEGÚN ESPECIES AL DÍA DE LA ENTREVISTA;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;
(Unidades);;;;;;;;;;
;;;;;;;;;;
Región y Provincia;TOTAL;AVES CRIADAS EN CAMPO;;;;;ÍNDICE;;;
;;Gallos y gallinas;Pollitos, Pollitas, Pollos, Pollas;Patos;Pavos;;;;;
TOTAL NACIONAL;9.341.321;4.775.794;3.929.385;585.087;51.055;;;;;
REGIÓN SIERRA;3.614.097;1.983.401;1.487.016;124.528;19.152;;;;;
REGIÓN COSTA;4.849.943;2.338.132;2.065.342;416.216;30.253;;;;;
REGIÓN AMAZÓNICA;877.281;454.262;377.027;44.343;1.650;;;;;
;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;
AZUAY;584.336;344.281;226.382;12.105;1.568;;;;;
BOLÍVAR;342.479;176.412;143.006;19.850;3.211;;;;;
CAÑAR;210.681;118.858;86.935;4.494;395;;;;;
CARCHI;98.088;60.611;33.128;3.560;790;;;;;
COTOPAXI;492.731;280.715;193.784;14.529;3.703;;;;;
CHIMBORAZO;390.938;211.847;163.895;12.951;2.245;;;;;
IMBABURA;238.728;121.304;112.295;4.461;669;;;;;
LOJA;489.916;277.974;194.080;15.921;1.941;;;;;
PICHINCHA;261.511;145.329;106.426;7.603;2.153;;;;;
TUNGURAHUA;206.112;116.159;81.234;8.432;287;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;298.577;129.912;145.851;20.622;2.191;;;;;
;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;
EL ORO;99.230;58.054;37.112;4.046;19;;;;;
ESMERALDAS;449.926;260.796;162.783;23.869;2.479;;;;;
GUAYAS;1.046.894;491.845;420.314;123.140;11.596;;;;;
LOS RÍOS;824.670;388.947;348.214;81.291;6.217;;;;;
MANABÍ;2.422.848;1.136.666;1.094.779;181.773;9.629;;;;;
SANTA ELENA;6.374;1.823;2.140;2.098;314;;;;;
;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;
MORONA SANTIAGO;154.821;84.383;58.734;11.505;198;;;;;
NAPO;115.616;67.182;45.337;2.844;252;;;;;
ORELLANA;110.369;41.592;64.837;3.780;160;;;;;
PASTAZA;44.663;29.394;13.032;2.110;126;;;;;
SUCUMBÍOS;364.721;188.539;157.581;18.040;561;;;;;
ZAMORA CHINCHIPE;87.093;43.171;37.506;6.064;352;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
