;;;;;;;;;;;
TABLA  64. ;;;;;;;;;;;
DESTINO DE LAS AVES CRIADAS EN EL CAMPO SEGÚN ESPECIES;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;
(Unidades);;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;AVES CRIADAS EN CAMPO;;;;;;;;;ÍNDICE;
;GALLOS Y GALLINAS;;POLLITOS, POLLITAS, POLLOS, POLLAS;;PATOS;;PAVOS;;;;
;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;Ventas;Autoconsumo;;;
TOTAL NACIONAL;298.110;1.424.060;70.336;250.220;9.985;57.292;920;1.604;;;
REGIÓN SIERRA;155.890;561.691;23.708;86.188;2.395;9.284;749;108;;;
REGIÓN COSTA;124.192;717.828;40.302;145.431;7.497;43.485;131;1.496;;;
REGIÓN AMAZÓNICA;18.028;144.541;6.327;18.600;92;4.522;41;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;39.257;83.664;2.367;5.977;253;372;54;;;;
BOLÍVAR;4.666;66.052;1.162;13.716;57;1.474;;;;;
CAÑAR;6.555;27.048;3.617;5.536;360;274;;;;;
CARCHI;3.108;16.931;826;434;;56;;23;;;
COTOPAXI;36.003;82.824;649;9.498;862;490;618;;;;
CHIMBORAZO;10.140;54.156;4.058;12.393;167;1.035;;;;;
IMBABURA;10.195;35.723;2.103;5.288;329;1.788;62;;;;
LOJA;15.886;74.661;2.789;6.798;310;1.813;;55;;;
PICHINCHA;20.433;43.826;2.974;3.372;;190;;1;;;
TUNGURAHUA;3.936;32.030;647;4.267;;401;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;5.710;44.777;2.515;18.909;58;1.392;15;30;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;2.140;16.067;;167;;;;;;;
ESMERALDAS;9.545;67.064;2.359;6.074;227;2.036;101;;;;
GUAYAS;8.591;168.354;493;34.615;4.513;15.388;20;491;;;
LOS RÍOS;7.376;116.079;1.970;23.272;320;12.173;;605;;;
MANABÍ;96.541;349.572;35.481;80.961;2.370;13.596;10;400;;;
SANTA ELENA;;692;;342;67;293;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;4.687;27.165;3.064;1.436;;2.366;;;;;
NAPO;1.796;15.075;199;1.774;;17;41;;;;
ORELLANA;48;12.776;458;8.067;;114;;;;;
PASTAZA;1.267;20.890;;40;;668;;;;;
SUCUMBÍOS;7.821;55.842;2.556;5.604;;1.271;;;;;
ZAMORA CHINCHIPE;2.408;12.793;51;1.679;92;85;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;
Período de referencia para ventas y autoconsumo  el período de referencia es del 1 de julio al 30 de septiembre 2019;;;;;;;;;;;
