;;;;;;;;;;;;
TABLA  66. ;;;;;;;;;;;;
NÚMERO DE VACAS ORDEÑADAS SEGÚN PRODUCCIÓN DIARIA Y DESTINO DE LA LECHE ;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;
(En unidades y litros);;;;;;;;;;;;
;;;;;;;;;;;;
Región y Provincia;NÚMERO TOTAL DE VACAS ORDEÑADAS;PRODUCCIÓN TOTAL DE LECHE (Litros);Destino Principal de la leche (litros);;;;;;ÍNDICE;;;
;;;Vendida en líquido;Consumo en los terrenos ;Alimentación al balde;Procesada en los terrenos ;Destinada a otros fines;;;;;
;;;;;;;;;;;;
TOTAL NACIONAL;996.503;6.648.786;4.980.596;455.913;244.006;855.003;113.268;;;;;
REGIÓN SIERRA;654.326;5.165.222;4.385.002;281.049;210.087;210.077;79.006;;;;;
REGIÓN COSTA;296.683;1.279.022;503.488;140.893;21.361;579.874;33.407;;;;;
REGIÓN AMAZÓNICA;45.494;204.542;92.106;33.971;12.558;65.052;855;;;;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
AZUAY;104.070;640.956;455.656;65.267;13.214;61.476;45.343;;;;;
BOLÍVAR;38.096;177.650;92.033;38.684;1.600;44.426;907;;;;;
CAÑAR;59.232;422.229;374.913;22.361;13.940;5.267;5.748;;;;;
CARCHI;35.738;379.916;352.933;12.408;11.590;1.868;1.118;;;;;
COTOPAXI;87.504;767.855;695.189;27.545;32.702;4.536;7.882;;;;;
CHIMBORAZO;101.370;787.108;681.362;37.989;51.401;8.589;7.767;;;;;
IMBABURA;20.020;163.236;128.401;6.855;18.474;7.901;1.605;;;;;
LOJA;24.109;118.264;16.784;23.968;5.439;66.670;5.402;;;;;
PICHINCHA;100.126;1.085.747;1.019.544;19.330;39.005;6.249;1.619;;;;;
TUNGURAHUA;47.552;407.217;365.618;19.417;20.557;11;1.614;;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;36.510;215.042;202.568;7.224;2.166;3.084;;;;;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
EL ORO;12.732;62.098;22.267;7.222;6.676;25.235;698;;;;;
ESMERALDAS;32.347;122.700;20.963;28.904;6.168;59.593;7.072;;;;;
GUAYAS;45.346;212.044;142.047;23.529;649;45.773;46;;;;;
LOS RÍOS;11.464;61.162;34.599;4.884;247;21.386;45;;;;;
MANABÍ;194.648;820.359;283.607;75.713;7.620;427.871;25.548;;;;;
SANTA ELENA;146;659;4;639;;16;;;;;;
;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;
MORONA SANTIAGO;12.058;39.591;9.832;3.923;4.743;21.092;;;;;;
NAPO;8.346;65.711;61.663;2.830;131;790;296;;;;;
ORELLANA;4.013;14.931;209;5.672;1.815;7.235;;;;;;
PASTAZA;1.521;6.127;3.898;431;9;1.778;12;;;;;
SUCUMBÍOS;10.490;40.903;9.684;11.370;2.468;16.863;518;;;;;
ZAMORA CHINCHIPE;9.065;37.279;6.819;9.745;3.392;17.293;28;;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;
