;;;;;;;;;;;
TABLA  67. ;;;;;;;;;;;
PRODUCCIÓN  SEMANAL DE HUEVOS DE GALLINA Y DESTINO, SEGÚN TIPO DE CRIANZA;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;
(Unidades);;;;;;;;;;;
;;;;;;;;;;;
Región y Provincia;HUEVOS DE GALLINA;;;;;;;;;ÍNDICE;
;AVES CRIADAS EN CAMPO;;;;AVES CRIADAS EN PLANTELES AVÍCOLAS;;;;;;
;PRODUCCIÓN;DESTINO;;;PRODUCCIÓN;DESTINO;;;;;
;;Autoconsumo;Ventas ;Otros;;Autoconsumo;Ventas ;Otros;;;
TOTAL NACIONAL;7.649.723;6.085.175;1.128.989;435.559;81.743.699;22.351;79.583.500;2.137.848;;;
REGIÓN SIERRA;3.780.817;3.028.504;625.123;127.191;63.606.319;13.783;63.325.995;266.542;;;
REGIÓN COSTA;3.185.649;2.516.302;440.773;228.574;12.582.811;8.569;10.702.937;1.871.306;;;
REGIÓN AMAZÓNICA;683.256;540.370;63.092;79.794;5.554.568;;5.554.568;;;;
;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;
AZUAY;622.961;483.153;125.915;13.892;71.181;1.615;68.587;979;;;
BOLÍVAR;301.126;252.957;9.937;38.232;;;;;;;
CAÑAR;211.654;193.902;17.211;541;2.227;;2.227;;;;
CARCHI;109.078;99.170;3.231;6.677;;;;;;;
COTOPAXI;590.866;496.637;83.816;10.413;15.400.472;1.267;15.397.258;1.946;;;
CHIMBORAZO;530.350;363.629;143.799;22.922;2.513.172;916;2.512.141;114;;;
IMBABURA;175.391;136.242;24.943;14.205;93.508;;;93.508;;;
LOJA;479.822;384.338;84.956;10.528;372.003;;372.003;;;;
PICHINCHA;193.473;146.425;44.166;2.881;3.009.858;;3.009.858;;;;
TUNGURAHUA;329.999;247.940;80.187;1.871;41.199.468;9.984;41.019.490;169.994;;;
SANTO DOMINGO DE LOS TSÁCHILAS;236.100;224.109;6.962;5.029;944.431;;944.431;;;;
;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;
EL ORO;70.590;56.558;13.613;418;4.332.040;38;4.331.964;38;;;
ESMERALDAS;268.320;245.361;14.639;8.320;;;;;;;
GUAYAS;777.497;687.729;62.795;26.973;264.667;788;263.880;;;;
LOS RÍOS;449.817;353.729;48.722;47.365;3.010.959;;1.140.798;1.870.161;;;
MANABÍ;1.617.550;1.171.233;301.004;145.312;4.975.145;7.743;4.966.295;1.107;;;
SANTA ELENA;1.876;1.691;;185;;;;;;;
;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;
MORONA SANTIAGO;126.968;86.177;19.141;21.649;;;;;;;
NAPO;107.605;97.643;5.352;4.610;1.336;;1.336;;;;
ORELLANA;94.101;77.606;292;16.202;;;;;;;
PASTAZA;84.383;54.360;6.024;23.999;5.553.232;;5.553.232;;;;
SUCUMBÍOS;209.089;164.993;31.707;12.389;;;;;;;
ZAMORA CHINCHIPE;61.112;59.589;576;946;;;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;
Período de referencia: siete días anteriores a la entrevista;;;;;;;;;;;
