;;;;;;;;;;;;;;
TABLA  68. ;;;;;;;;;;;;;;
NÚMERO DE TRABAJADORES REMUNERADOS Y NO REMUNERADOS SEGÚN SEXO;;;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;;;
(Número de Personas);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Región y Provincia;TOTAL;;;NÚMERO DE TRABAJADORES;;;;;;;;;;ÍNDICE
;;;;SIN REMUNERACIÓN;;;TRABAJADORES REMUNERADOS;;;;;;;
;;;;PERSONA PRODUCTORA Y/O FAMILIARES;;;PERMANENTES;;;OCASIONALES;;;;
;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;;
TOTAL NACIONAL;2.111.783;1.364.644;747.140;1.647.121;1.002.380;644.741;228.371;168.814;59.557;236.292;193.449;42.842;;
REGIÓN SIERRA;1.199.700;655.811;543.890;1.017.918;539.927;477.991;114.607;67.676;46.931;67.176;48.208;18.968;;
REGIÓN COSTA;790.079;634.011;156.068;516.597;395.852;120.746;107.254;95.648;11.606;166.228;142.512;23.716;;
REGIÓN AMAZÓNICA;122.004;74.822;47.182;112.606;66.602;46.004;6.510;5.490;1.020;2.888;2.729;158;;
;;;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;;;
AZUAY;132.459;66.421;66.038;127.030;62.198;64.832;2.305;1.715;590;3.124;2.508;616;;
BOLÍVAR;80.610;54.009;26.601;75.582;49.402;26.181;1.097;866;231;3.931;3.742;189;;
CAÑAR;55.007;27.918;27.089;49.752;23.578;26.174;3.247;2.547;700;2.008;1.794;214;;
CARCHI;52.350;34.510;17.840;31.381;20.397;10.984;6.849;3.636;3.214;14.119;10.477;3.642;;
COTOPAXI;200.358;97.428;102.930;177.195;84.455;92.741;18.555;10.225;8.330;4.607;2.749;1.859;;
CHIMBORAZO;180.161;92.408;87.753;167.409;84.070;83.339;1.905;1.212;694;10.847;7.126;3.721;;
IMBABURA;75.427;43.315;32.113;67.755;37.940;29.815;3.329;2.336;993;4.343;3.038;1.305;;
LOJA;69.308;45.688;23.620;64.631;41.607;23.024;1.321;1.215;106;3.355;2.865;491;;
PICHINCHA;162.568;86.494;76.074;91.147;47.030;44.117;66.774;36.243;30.531;4.647;3.221;1.427;;
TUNGURAHUA;153.889;78.798;75.091;138.009;69.440;68.569;2.786;1.742;1.044;13.094;7.615;5.478;;
SANTO DOMINGO DE LOS TSÁCHILAS;37.564;28.823;8.741;28.026;19.809;8.217;6.437;5.939;498;3.100;3.075;26;;
;;;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;;;
EL ORO;124.244;93.218;31.026;26.679;17.822;8.856;19.276;17.458;1.819;78.288;57.938;20.351;;
ESMERALDAS;67.922;52.359;15.563;53.769;39.420;14.349;8.361;7.630;731;5.792;5.308;484;;
GUAYAS;212.300;170.818;41.482;153.299;119.402;33.897;41.377;34.941;6.436;17.624;16.474;1.149;;
LOS RÍOS;155.539;125.407;30.131;108.953;82.240;26.713;25.476;23.020;2.456;21.109;20.147;962;;
MANABÍ;226.523;188.989;37.534;171.966;135.262;36.704;11.854;11.721;133;42.703;42.006;697;;
SANTA ELENA;3.551;3.219;332;1.931;1.704;227;909;877;32;712;638;74;;
;;;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;;;
MORONA SANTIAGO;20.000;12.710;7.290;18.142;11.156;6.985;1.637;1.333;305;221;221;;;
NAPO;16.384;9.816;6.567;15.148;8.816;6.332;590;418;172;646;583;64;;
ORELLANA;19.649;11.869;7.780;18.838;11.141;7.697;520;439;81;291;289;2;;
PASTAZA;7.602;3.942;3.660;6.278;3.076;3.202;1.244;813;431;79;53;26;;
SUCUMBÍOS;44.356;29.247;15.110;40.676;25.634;15.041;2.344;2.313;31;1.337;1.299;38;;
ZAMORA CHINCHIPE;14.013;7.238;6.775;13.525;6.778;6.746;174;174;;314;285;29;;
;;;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
