;;;;;;;;;;;;
TABLA  69. ;;;;;;;;;;;;
SUPERFICIE PLANTADA SEGÚN PASTOS CULTIVADOS ;;;;;;;;;;;;
POR REGIÓN Y PROVINCIA;;;;;;;;;;;;
(Hectáreas);;;;;;;;;;;;
;;;;;;;;;;;;
Región y Provincia;TOTAL;SUPERFICIE PLANTADA (Has.);;;;;;;;ÍNDICE;;
;;BRACHIARIA;GRAMALOTE;PASTO MIEL ;RAYGRASS;SABOYA;PASTO MIXTO;OTROS PASTOS CULTIVADOS;;;;
TOTAL NACIONAL;1.998.473;160.178;98.377;147.133;32.891;800.920;467.865;291.108;;;;
REGIÓN SIERRA;548.401;53.106;9.492;74.470;31.758;39.054;210.091;130.429;;;;
REGIÓN COSTA;1.109.224;74.342;14.172;56.434;1.132;739.436;128.483;95.225;;;;
REGIÓN AMAZÓNICA;340.847;32.730;74.712;16.229;;22.431;129.292;65.454;;;;
;;;;;;;;;;;;
REGIÓN SIERRA;;;;;;;;;;;;
AZUAY;36.976;282;34;175;8.545;;21.250;6.690;;;;
BOLÍVAR;87.929;4.736;;17.907;2.708;2.424;24.282;35.871;;;;
CAÑAR;28.837;824;5.945;;3.646;;14.701;3.721;;;;
CARCHI;22.329;200;1.769;234;4.589;;13.310;2.227;;;;
COTOPAXI;80.955;1.075;177;14.176;910;1.491;24.217;38.909;;;;
CHIMBORAZO;38.771;88;2;;1.690;81;23.234;13.676;;;;
IMBABURA;22.979;65;101;3.474;387;1.393;9.811;7.748;;;;
LOJA;26.622;44;;17.420;323;839;4.567;3.427;;;;
PICHINCHA;82.225;13.455;439;14.118;6.500;2.068;39.482;6.164;;;;
TUNGURAHUA;17.816;;29;374;2.167;;9.955;5.292;;;;
SANTO DOMINGO DE LOS TSÁCHILAS;102.964;32.337;997;6.592;292;30.758;25.284;6.704;;;;
;;;;;;;;;;;;
REGIÓN COSTA;;;;;;;;;;;;
EL ORO;90.088;963;;46.864;;4.355;16.209;21.697;;;;
ESMERALDAS;212.681;35.827;9.063;2.397;;97.420;59.508;8.467;;;;
GUAYAS;151.043;3.991;955;7.173;;71.767;16.555;50.602;;;;
LOS RÍOS;44.295;13.036;4.154;;1.090;12.779;5.467;7.769;;;;
MANABÍ;609.452;20.525;;;42;551.642;30.552;6.691;;;;
SANTA ELENA;1.666;;;;;1.474;192;;;;;
;;;;;;;;;;;;
REGIÓN AMAZÓNICA;;;;;;;;;;;;
MORONA SANTIAGO;81.446;1.530;38.924;;;;31.204;9.788;;;;
NAPO;28.781;271;2.789;8.838;;1.912;6.609;8.361;;;;
ORELLANA;25.373;30;3;287;;5.985;11.718;7.352;;;;
PASTAZA;23.908;247;21.826;;;;881;955;;;;
SUCUMBÍOS;102.068;444;3.812;7.104;;14.508;60.682;15.519;;;;
ZAMORA CHINCHIPE;79.271;30.208;7.359;;;26;18.198;23.479;;;;
;;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;;
