;;;;;;;;;;
TABLA 6.;;;;;;;;;;
SUPERFICIE, SEGÚN PRODUCCIÓN Y VENTAS;;;;;;;;;;
POR CULTIVOS TRANSITORIOS ;;;;;;;;;;
(Hectáreas, Toneladas Métricas);;;;;;;;;;
;;;;;;;;;;
CULTIVOS TRANSITORIOS;; SUPERFICIE (Has.) ;; PRODUCCIÓN (Tm.) ; VENTAS (Tm.) ;; ÍNDICE ;;;
;; Plantada ; Cosechada ;;;;;;;
TOTAL NACIONAL;Solo; 806.479 ; 777.654 ;;;;;;;
;Asociado; 42.876 ; 41.327 ;;;;;;;
;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo; 261.501 ; 257.004 ; 1.098.383 ; 1.053.565 ;;;;;
;Asociado; 269 ; 269 ; 1.303 ; 1.297 ;;;;;
ARVEJA SECA (GRANO SECO);Solo; 678 ; 610 ; 370 ; 174 ;;;;;
;Asociado; 127 ; 127 ; 45 ; 23 ;;;;;
ARVEJA TIERNA (EN VAINA);Solo; 3.524 ; 3.333 ; 11.029 ; 10.545 ;;;;;
;Asociado; 346 ; 346 ; 273 ; 191 ;;;;;
BROCOLI (REPOLLO);Solo; 9.663 ; 9.658 ; 167.593 ; 161.916 ;;;;;
;Asociado; 261 ; 261 ; 2.132 ; 2.132 ;;;;;
CEBADA (GRANO SECO);Solo; 9.715 ; 9.198 ; 13.450 ; 11.303 ;;;;;
;Asociado;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo; 7.591 ; 7.544 ; 42.455 ; 41.860 ;;;;;
;Asociado;;;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo; 13.446 ; 12.761 ; 8.357 ; 6.896 ;;;;;
;Asociado; 11.807 ; 11.245 ; 6.387 ; 3.483 ;;;;;
FRÉJOL TIERNO (EN VAINA);Solo; 4.053 ; 3.606 ; 8.568 ; 7.768 ;;;;;
;Asociado; 3.511 ; 3.412 ; 4.180 ; 3.077 ;;;;;
HABA SECA (GRANO SECO);Solo; 943 ; 912 ; 967 ; 687 ;;;;;
;Asociado; 1.527 ; 1.512 ; 694 ; 112 ;;;;;
HABA TIERNA (EN VAINA);Solo; 6.593 ; 6.278 ; 22.736 ; 21.484 ;;;;;
;Asociado; 809 ; 751 ; 687 ; 293 ;;;;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo; 2.776 ; 2.638 ; 12.842 ; 11.996 ;;;;;
;Asociado; 97 ; 96 ; 308 ; 211 ;;;;;
MAÍZ DURO SECO (GRANO SECO);Solo; 327.430 ; 315.656 ; 1.454.284 ; 1.408.410 ;;;;;
;Asociado; 7.336 ; 7.191 ; 25.486 ; 19.519 ;;;;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo; 17.391 ; 16.697 ; 71.043 ; 64.321 ;;;;;
;Asociado; 1.843 ; 1.742 ; 3.281 ; 1.623 ;;;;;
MAÍZ SUAVE SECO (GRANO SECO);Solo; 38.462 ; 35.266 ; 51.863 ; 39.273 ;;;;;
;Asociado; 9.924 ; 9.553 ; 9.412 ; 2.961 ;;;;;
MANÍ (GRANO DESCASCARADO);Solo; 6.567 ; 6.316 ; 4.950 ; 4.346 ;;;;;
;Asociado; 1.555 ; 1.505 ; 443 ; 251 ;;;;;
PAPA (TUBÉRCULO FRESCO);Solo; 19.968 ; 19.086 ; 273.717 ; 252.477 ;;;;;
;Asociado; 658 ; 589 ; 1.629 ; 1.229 ;;;;;
QUINUA (GRANO SECO);Solo; 2.957 ; 2.559 ; 4.505 ; 2.603 ;;;;;
;Asociado;;;;;;;;;
SOYA (GRANO SECO);Solo; 27.960 ; 27.020 ; 39.515 ; 38.974 ;;;;;
;Asociado;;;;;;;;;
TABACO (HOJA SECA);Solo; 3.650 ; 3.650 ; 4.603 ; 4.328 ;;;;;
;Asociado;;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo; 1.381 ; 1.330 ; 30.865 ; 30.679 ;;;;;
;Asociado; 71 ; 71 ; 726 ; 726 ;;;;;
TRIGO (GRANO SECO);Solo; 3.138 ; 3.085 ; 5.073 ; 3.492 ;;;;;
;Asociado;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo; 14.041 ; 12.846 ; 67.417 ; 49.941 ;;;;;
;Asociado; 782 ; 755 ; 2.446 ; 1.625 ;;;;;
OTROS TRANSITORIOS;Solo; 23.051 ; 20.601 ;;;;;;;
;Asociado; 1.952 ; 1.902 ;;;;;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
