;;;;;;;;;;;
TABLA 7. ;;;;;;;;;;;
SUPERFICIE PERDIDA, SEGÚN DIFERENTES CAUSAS;;;;;;;;;;;
POR CULTIVOS TRANSITORIOS;;;;;;;;;;;
(Hectáreas);;;;;;;;;;;
;;;;;;;;;;;
CULTIVOS TRANSITORIOS;;SUPERFICIE PERDIDA (Has.);;;;;;;;ÍNDICE;
;;Total;Sequía;Helada;Plagas;Enfermedades;Inundación;Otra razón;;;
TOTAL NACIONAL;Solo;27.624;4.998;1.730;10.711;1.260;6.860;2.064;;;
;Asociado;1.549;754;186;359;38;96;117;;;
;;;;;;;;;;;
ARROZ (EN CÁSCARA);Solo;4.498;206;;1.080;;3.175;36;;;
;Asociado;;;;;;;;;;
ARVEJA SECA (GRANO SECO);Solo;68;39;17;7;6;;;;;
;Asociado;;;;;;;;;;
ARVEJA TIERNA (EN VAINA);Solo;191;55;33;63;12;17;12;;;
;Asociado;;;;;;;;;;
BROCOLI (REPOLLO);Solo;4;3;;2;;;0;;;
;Asociado;;;;;;;;;;
CEBADA (GRANO SECO);Solo;516;107;10;91;20;186;102;;;
;Asociado;;;;;;;;;;
CEBOLLA BLANCA (TALLO FRESCO);Solo;46;2;11;33;;;1;;;
;Asociado;;;;;;;;;;
FRÉJOL SECO (GRANO SECO);Solo;685;208;49;174;147;41;66;;;
;Asociado;562;385;38;98;7;14;20;;;
FRÉJOL TIERNO (EN VAINA);Solo;447;11;38;265;3;26;104;;;
;Asociado;99;16;;27;;;57;;;
HABA SECA (GRANO SECO);Solo;31;18;;3;2;9;;;;
;Asociado;15;1;3;;;11;;;;
HABA TIERNA (EN VAINA);Solo;315;31;34;192;24;;34;;;
;Asociado;58;10;;37;11;;;;;
MAÍZ DURO CHOCLO (EN CHOCLO);Solo;138;24;;92;;22;;;;
;Asociado;1;1;;;;;;;;
MAÍZ DURO SECO (GRANO SECO);Solo;11.775;1.098;367;6.483;535;2.915;377;;;
;Asociado;146;37;19;62;1;26;;;;
MAÍZ SUAVE CHOCLO (EN CHOCLO);Solo;694;240;91;278;21;;63;;;
;Asociado;102;33;4;59;2;3;;;;
MAÍZ SUAVE SECO (GRANO SECO);Solo;3.196;1.768;378;822;120;22;85;;;
;Asociado;370;271;14;40;15;17;13;;;
MANÍ (GRANO DESCASCARADO);Solo;251;17;;94;53;87;;;;
;Asociado;50;;;25;;24;;;;
PAPA (TUBÉRCULO FRESCO);Solo;882;141;99;410;219;14;;;;
;Asociado;69;1;58;10;;;;;;
QUINUA (GRANO SECO);Solo;399;;75;;;;323;;;
;Asociado;;;;;;;;;;
SOYA (GRANO SECO);Solo;940;753;;187;;;;;;
;Asociado;;;;;;;;;;
TABACO (HOJA SECA);Solo;;;;;;;;;;
;Asociado;;;;;;;;;;
TOMATE RIÑÓN (FRUTA FRESCA);Solo;52;20;;13;8;;10;;;
;Asociado;;;;;;;;;;
TRIGO (GRANO SECO);Solo;53;30;;;12;10;1;;;
;Asociado;;;;;;;;;;
YUCA (RAÍZ FRESCA);Solo;1.194;21;;150;19;245;760;;;
;Asociado;28;;;;1;;27;;;
OTROS TRANSITORIOS;Solo;1.249;208;529;273;60;92;87;;;
;Asociado;49;;49;;;;;;;
;;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;;
