;;;;;;;;;;
TABLA 9.;;;;;;;;;;
SUPERFICIE, PRODUCCIÓN Y VENTAS, SEGÚN CONDICIÓN DEL CULTIVO;;;;;;;;;;
POR ESPECIE DE FLORES;;;;;;;;;;
(Hectáreas, Número, Unidades);;;;;;;;;;
;;;;;;;;;;
ESPECIE DE FLOR;;SUPERFICIE (Has.);;Producción;Ventas (en unidades);;;;;ÍNDICE
;;Plantada o Sembrada;Cosechada o Cortada;N° total de tallos cortados;Full Tabaco;Tabaco;Bonche;Bouquet;;
TOTAL NACIONAL;Bajo invernadero;7.925;7.365;4.267.182.948;12.496.256;8.093.877;28.220.850;4.661.583;;
;En campo abierto;1.391;1.253;974.498.213;487.507;771.899;40.868.167;5.666.395;;
;;;;;;;;;;
FLORES PERMANENTES;;;;;;;;;;
TOTAL PERMANENTES;Bajo invernadero;5.949;5.389;3.646.993.833;11.027.459;7.673.875;26.731.112;3.438.420;;
;En campo abierto;1.345;1.206;955.174.637;460.569;740.926;40.855.249;5.666.395;;
CLAVEL;Bajo invernadero;144;131;122.865.638;94.876;117.811;260.736;;;
;En campo abierto;;;;;;;;;
GINGER;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
GYSOPHILIA;Bajo invernadero;48;48;57.759.082;36.229;143.333;;;;
;En campo abierto;285;285;285.288.502;120.209;666.274;;;;
HELICONIAS;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
HYPERICUM;Bajo invernadero;9;9;7.200.000;11.999;;;;;
;En campo abierto;795;783;542.215.251;324.013;43.986;37.123.665;4.066.780;;
LIMONIUM;Bajo invernadero;87;87;161.257.451;390.743;61.526;;;;
;En campo abierto;;;;;;;;;
ROSA;Bajo invernadero;5.587;5.044;3.242.342.804;10.463.917;7.279.077;26.163.191;2.293.233;;
;En campo abierto;197;72;103.555.178;11.500;10.666;3.683.715;534.375;;
OTRAS FLORES PERMANENTES;Bajo invernadero;73;70;55.568.858;29.696;72.128;307.185;1.145.187;;
;En campo abierto;68;66;24.115.705;4.847;20.000;47.869;1.065.240;;
;;;;;;;;;;
FLORES TRANSITORIAS;;;;;;;;;;
TOTAL TRANSITORIOS;Bajo invernadero;1.976;1.976;620.189.116;1.468.797;420.002;1.489.738;1.223.162;;
;En campo abierto;46;46;19.323.576;26.938;30.973;12.917;;;
AMY;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
ASTER;Bajo invernadero;288;288;140.587.201;702.936;;;;;
;En campo abierto;1;1;1.775.040;3.698;;;;;
CRISANTEMOS;Bajo invernadero;56;56;28.495.936;;121.740;;;;
;En campo abierto;;;;;;;;;
DELPHINIUM;Bajo invernadero;189;189;186.274.608;447.573;;880.000;;;
;En campo abierto;13;13;10.080.000;15.000;7.200;;;;
GIRASOLES;Bajo invernadero;;;;;;;;;
;En campo abierto;21;21;6.136.400;8.000;18.967;;;;
GODETIAS;Bajo invernadero;;;;;;;;;
;En campo abierto;;;;;;;;;
LYATRIS;Bajo invernadero;19;19;86.225.160;;123.928;;;;
;En campo abierto;;;;;;;;;
OTRAS FLORES TRANSITORIAS;Bajo invernadero;1.424;1.424;178.606.211;318.288;174.334;609.738;1.223.162;;
;En campo abierto;11;11;1.332.136;240;4.806;12.917;;;
;;;;;;;;;;
FUENTE: ESPAC - 2019;;;;;;;;;;
